,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
14900,15320,"1,2,3-triethylbenzene",352.0,1.0,CCc1cccc(CC)c1CC,godinho11
14901,15321,"1-sec -butyl-2,4-dimethylbenzene",354.5,1.0,CCC(C)c1ccc(C)cc1C,godinho11
14902,15322,hexylbenzene,356.7,1.0,CCCCCCc1ccccc1,godinho11
14903,15323,"(2,4-dimethylpentyl)benzene",360.1,1.0,CC(C)CC(C)Cc1ccccc1,godinho11
14904,15324,(1-methylhexyl)benzene,360.4,1.0,CCCCCC(C)c1ccccc1,godinho11
14905,15325,"1,4-di-tert -butylbenzene",370.1,1.0,CC(C)(C)c1ccc(C(C)(C)C)cc1,godinho11
14906,15326,heptylbenzene,368.6,1.0,CCCCCCCc1ccccc1,godinho11
14907,15327,(1-methylheptyl)benzene,373.2,1.0,CCCCCCC(C)c1ccccc1,godinho11
14908,15328,"1,3-dibutylbenzene",382.4,1.0,CCCCc1cccc(CCCC)c1,godinho11
14909,15329,octylbenzene,380.2,1.0,CCCCCCCCc1ccccc1,godinho11
