,compound,flashpoint,pure substance,smiles,source
83,"2,3,4-trimethylhexane",288.0,1,CC(C)C(C(CC)C)C,carroll11
84,"2,3,3,4-tetramethylpentane",284.0,1,CC(C)C(C(C)C)(C)C,carroll11
85,"2,3-dimethylheptane",288.0,1,CC(C)C(CCCC)C,carroll11
86,"2,2,3,3-tetramethylpentane",289.0,1,CC(C)(C(CC)(C)C)C,carroll11
87,4-ethylheptane,288.0,1,C(C)C(CCC)CCC,carroll11
88,3-ethyl-4-methylhexane,288.0,1,C(C)C(CC)C(CC)C,carroll11
89,"3,4-dimethylheptane",288.0,1,CC(CC)C(CCC)C,carroll11
90,"3,3,4-trimethylhexane",288.0,1,CC(CC)(C(CC)C)C,carroll11
91,"3-ethyl-2,3-dimethylpentane",288.0,1,C(C)C(C(C)C)(CC)C,carroll11
92,4-methyloctane,295.0,1,CC(CCC)CCCC,carroll11
93,"3,3-diethylpentane",294.0,1,C(C)C(CC)(CC)CC,carroll11
94,"2,4,6-trimethylheptane",304.0,1,CC(C)CC(CC(C)C)C,carroll11
95,cyclooctane,301.0,1,C1CCCCCCC1,carroll11
96,"2,2,4,4-tetramethylhexane",304.0,1,CC(C)(CC(CC)(C)C)C,carroll11
97,"2,2-dimethyloctane",304.0,1,CC(C)(CCCCCC)C,carroll11
98,"2,2,3,4-tetramethylhexane",304.0,1,CC(C)(C(C(CC)C)C)C,carroll11
99,isopropylcyclohexane,308.0,1,C(C)(C)C1CCCCC1,carroll11
100,"3,3,5-trimethylheptane",304.0,1,CC(CC)(CC(CC)C)C,carroll11
101,"2,3,4,5-tetramethylhexane",304.0,1,CC(C)C(C(C(C)C)C)C,carroll11
102,propylcyclohexane,304.0,1,C(CC)C1CCCCC1,carroll11
103,butylcyclopentane,305.0,1,C(CCC)C1CCCC1,carroll11
104,3-ethyl-5-methylheptane,304.0,1,C(C)C(CC)CC(CC)C,carroll11
105,"2,6-dimethyloctane",307.0,1,CC(C)CCCC(CC)C,carroll11
106,"3-ethyl-2,2-dimethylhexane",311.0,1,C(C)C(C(C)(C)C)CCC,carroll11
107,"3,5-dimethyloctane",314.0,1,CC(CC)CC(CCC)C,carroll11
108,"2,2,3,3-tetramethylhexane",304.0,1,CC(C)(C(CCC)(C)C)C,carroll11
109,"3,3-dimethyloctane",314.0,1,CC(CC)(CCCCC)C,carroll11
110,"2,3,4,4-tetramethylhexane",304.0,1,CC(C)C(C(CC)(C)C)C,carroll11
111,4-propylheptane,308.0,1,C(CC)C(CCC)CCC,carroll11
112,4-ethyloctane,314.0,1,C(C)C(CCC)CCCC,carroll11
