smiles,compound,flashpoint,source,pure substance
CN(C)[Si](C)(C)N(C)C,Bis(dimethylamino)dimethylsilane,266.0,pan12,1
C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,Hexamethylcyclotrisiloxane,305.0,pan12,1
C[Si](S[Si](C)(C)C)(C)C,Hexamethyldisilthiane,299.0,pan12,1
C[Si]([Si](C)(C)C)(C)C,Hexamethyldisilane,272.0,pan12,1
CN(C)[SiH](N(C)C)N(C)C,Tris(dimethylamino)silane,298.0,pan12,1
C[Si](O[SiH2]O[Si](C)(C)C)(C)C,Hexamethyltrisiloxane,293.0,pan12,1
C1(=CC=CC=C1)C[SiH](Cl)Cl,Phenylmethyldichlorosilane,355.0,pan12,1
C1(=CC=CC=C1)C[SiH2]Cl,Phenylmethylchlorosilane,355.0,pan12,1
C(=C)C(C=C)(C=C)[SiH3],Trivinylmethylsilane,288.0,pan12,1
C1(CCCCC1)C[SiH](Cl)Cl,Cyclohexylmethyldichlorosilane,355.0,pan12,1
C[Si](OC=CC=C)(C)C,"1-(Trimethylsiloxy)-1,3-butadiene",298.0,pan12,1
ClCC(=C)C[Si](C)(C)C,2-Chloromethyl-3-trimethylsilyl-1-propene,316.0,pan12,1
C(CCCCC)[Si](Cl)(Cl)C,n-Hexylmethyldichlorosilane,358.0,pan12,1
C(=C)C[SiH](OCC)OCC,Vinylmethyldiethoxysilane,289.0,pan12,1
C(=C)[Si](C)(CC)CC,Vinyldiethylmethylsilane,288.0,pan12,1
C[Si](N1CCOCC1)(C)C,N-(Trimethylsilyl)morpholine,300.0,pan12,1
C[Si](C)(C)N=C=N[Si](C)(C)C,Bis(trimethylsilyl)carbodiimide,315.0,pan12,1
C(C)(C)(C)O[Si](C)(C)C,t-Butoxytrimethylsilane,287.0,pan12,1
C(=C)[Si](O[Si](C)(C)C)(C)C,Vinylpentamethyldisiloxane,285.0,pan12,1
C(C(C)C)[Si](OC)(OC)OC,Isobutyltrimethoxysilane,315.0,pan12,1
C[Si](OCC)(OCC)OCC,Methyltriethoxysilane,297.0,pan12,1
C(C)N(CC)[Si](C)(C)C,(Diethylamino)trimethylsilane,283.0,pan12,1
C[Si](C)(C)C[Si](C)(C)C,Bis(trimethylsilyl)methane,285.0,pan12,1
C1(=CC=CC=C1)CC[SiH](Cl)Cl,Phenylethyldichlorosilane,365.0,pan12,1
C1(=CC=CC=C1)[Si](Cl)(C)C,Phenyldimethylchlorosilane,334.0,pan12,1
CN(C)[Si](CC)(CC)CC,"(N,N-Dimethylamino)triethylsilane",299.0,pan12,1
C(=C)[Si](C=C)(C=C)C=C,Tetravinylsilane,291.0,pan12,1
C1(=CC=CC=C1)[SiH](C)C,Phenyldimethylsilane,311.0,pan12,1
C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,Ethyltriacetoxysilane,377.0,pan12,1
C1(C=CC=C1)[Si](C)(C)C,Cyclopentadienyltrimethylsilane,302.0,pan12,1
C[Si](C1C=CCC1)(C)C,3-(Trimethylsilyl)cyclopentene,299.0,pan12,1
C(C=CC=C)[Si](C)(C)C,"(2,4-Pentadienyl)trimethylsilane",291.0,pan12,1
C(CCCCCCC)[Si](Cl)(Cl)Cl,n-Octyltrichlorosilane,369.0,pan12,1
C(CCCCCC)[Si](Cl)(Cl)C,n-Heptylmethyldichlorosilane,339.0,pan12,1
C(C)C(C(=O)O[SiH3])(CC)CC,Triethylacetoxysilane,314.0,pan12,1
C(=C)[Si](OCC)(OCC)OCC,Vinyltriethoxysilane,307.0,pan12,1
C(=C)[Si](CC)(CC)CC,Vinyltriethylsilane,298.0,pan12,1
C(=C)[Si](N[Si](C=C)(C)C)(C)C,"1,3-Divinyltetramethyldisilazane",307.0,pan12,1
C(C)O[Si](OCC)(OCC)OCC,Tetraethoxysilane,323.0,pan12,1
C(C)[Si](CC)(CC)CC,Tetraethylsilane,299.0,pan12,1
C(CCCCCCC)[SiH3],n-Octylsilane,309.0,pan12,1
NCCNCCC[Si](OC)(OC)OC,Aminoethylaminopropyltrimethoxysilane,369.0,pan12,1
C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,Octamethyltrisiloxane,303.0,pan12,1
C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,Octamethylcyclotetrasiloxane,330.0,pan12,1
C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,Octamethylcyclotetrasilazane,339.0,pan12,1
C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,Tetrakisdimethylsiloxysilane,340.0,pan12,1
ClC1=CC=C(C=C1)[Si](C)(C)C,p-Chlorophenyltrimethylsilane,322.0,pan12,1
C[Si](OC)(OC)C1=CC=CC=C1,Methylphenyldimethoxysilane,349.0,pan12,1
C1(=CC=CC=C1)[Si](OC)(OC)OC,Phenyltrimethoxysilane,358.0,pan12,1
C[Si](C1=CC=CC=C1)(C)C,Trimethylphenylsilane,313.0,pan12,1
C(#N)CC[Si](OCC)(OCC)OCC,2-Cyanoethyltriethoxysilane,359.0,pan12,1
C1(CCCCC1)C[SiH](OC)OC,Cyclohexylmethyldimethoxysilane,343.0,pan12,1
C(C1CO1)OCCC[Si](OC)(OC)OC,3-Glycidoxypropyltrimethoxysilane,383.0,pan12,1
C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,Di-t-butylmethylchlorosilane,342.0,pan12,1
C(CCCCC)[Si](OC)(OC)OC,Hexyltrimethoxysilane,335.0,pan12,1
C(C)(C)[SiH](C(C)C)C(C)C,Triisopropylsilane,310.0,pan12,1
C(CC)[SiH](CCC)CCC,Tri-n-propylsilane,316.0,pan12,1
C(C)(C)N(C(C)C)[Si](C)(C)C,(Diisopropylamino)trimethylsilane,301.0,pan12,1
Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,1-Chlorononamethyltetrasiloxane,347.0,pan12,1
C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,Propyltris(dimethylsiloxy)silane,323.0,pan12,1
C(C1=CC=CC=C1)[Si](C)(C)C,Benzyltrimethylsilane,335.0,pan12,1
C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,3-Methacryloxypropyltrimethoxysilane,365.0,pan12,1
C(CCCCCCC)[Si](Cl)(C)C,n-Octyldimethylchlorosilane,370.0,pan12,1
C(C)N(CC)[Si](C)(C)N(CC)CC,Bis(diethylamino)dimethylsilane,308.0,pan12,1
C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,Decamethyltetrasiloxane,335.0,pan12,1
C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,Decamethylcyclopentasiloxane,350.0,pan12,1
C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.0,pan12,1
C(CCCCCCCCC)[Si](Cl)(Cl)C,n-Decylmethyldichlorosilane,393.0,pan12,1
C(=C)[Si](CC)(CC)CC,Vinyltriethylsilane,318.0,pan12,1
C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,Phenyltriethoxysilane,393.0,pan12,1
C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,Diphenylsilane,371.0,pan12,1
C[Si]1([Si]([Si]([Si]1(C=C)C)(C=C)C)(C=C)C)C=C,Tetramethyltetravinylcyclotetrasilane,385.0,pan12,1
C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,n-Dodecyltrichlorosilane,435.0,pan12,1
C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,Hexaethyldisiloxane,349.0,pan12,1
C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,Dodecamethylpentasiloxane,352.0,pan12,1
C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,Dodecamethylcyclohexasiloxane,366.0,pan12,1
C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,Methyldiphenylchlorosilane,411.0,pan12,1
C(CCCCCCCCCCC)[Si](Cl)(Cl)C,n-Dodecylmethyldichlorosilane,416.0,pan12,1
C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,Diphenyldimethoxysilane,394.0,pan12,1
C(CCCCCCC)[Si](OCC)(OCC)OCC,Octyltriethoxysilane,373.0,pan12,1
C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,Tetradecamethylhexasiloxane,375.0,pan12,1
C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,n-Octadecyltrichlorosilane,466.0,pan12,1
C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,Octadecamethyloctasiloxane,417.0,pan12,1
C(=C)[Si](Cl)(Cl)Cl,Vinyltrichlorosilane,294.0,pan12,1
C(C)[SiH3],Ethylsilane,213.0,pan12,1
C(CC)[Si](Cl)(Cl)Cl,n-Propyltrichlorosilane,310.0,pan12,1
C[Si](F)(C)C,Trimethylfluorosilane,238.0,pan12,1
CC(=C[SiH2]Cl)C,Dimethylvinylchlorosilane,268.0,pan12,1
C[Si](C)(C)N=C=S,Trimethylsilylisothiocyanate,308.0,pan12,1
CO[Si](C)(C)C,Methoxytrimethylsilane,243.0,pan12,1
C(C)[SiH2]CC,Diethylsilane,253.0,pan12,1
N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,Tetraisocyanatosilane,323.0,pan12,1
C(C)(CCC)[Si](Cl)(Cl)Cl,sec-Amyltrichlorosilane,303.0,pan12,1
C(=C)[Si](OC)(OC)OC,Vinyltrimethoxysilane,296.0,pan12,1
C(C)O[Si](C)(C)C,Ethoxytrimethylsilane,246.0,pan12,1
C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,Phenyltrichlorosilane,364.0,pan12,1
C1(CCCCC1)[Si](Cl)(Cl)Cl,Cyclohexyltrichlorosilane,358.0,pan12,1
C[Si](C#CC)(C)C,1-Trimethylsilylpropyne,270.0,pan12,1
C(CCCCC)[SiH](Cl)Cl,Hexyldichlorosilane,337.0,pan12,1
C(C=C)[Si](OC)(OC)OC,Allyltrimethoxysilane,319.0,pan12,1
ClCCC[Si](OC)(OC)C,3-Chloropropylmethyldimethoxysilane,318.0,pan12,1
C(CC)[Si](OC)(OC)OC,n-Propyltrimethoxysilane,298.0,pan12,1
C[Si](O[Si](C)(C)C)(C)C,Hexamethyldisiloxane,270.0,pan12,1
C[Si](N[Si](C)(C)C)(C)C,Hexamethyldisilazane,281.0,pan12,1
C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,Methyltriacetoxysilane,358.0,pan12,1
C(CCCCCC)[Si](Cl)(Cl)Cl,n-Heptyltrichlorosilane,337.0,pan12,1
COCC(C)O[Si](C)(C)C,(1-Methoxy-2-propoxy)trimethylsilane,293.0,pan12,1
C[Si](N([Si](C)(C)C)C)(C)C,Heptamethyldisilazane,300.0,pan12,1
C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,Vinyltriacetoxysilane,361.0,pan12,1
C1(=CCCC1)O[Si](C)(C)C,(Cyclopentenyloxy)trimethylsilane,311.0,pan12,1
C[Si](O[Si](C=C)(C=C)C)(C)C,Tetramethyldivinyldisiloxane,292.0,pan12,1
C(C)[Si](OCC)(OCC)CC,Diethyldiethoxysilane,316.0,pan12,1
CC(C(O[Si]([O])OCC)(C)C)C,Tetramethyldiethoxysiloxane,311.0,pan12,1
C(CC)[Si](Cl)(CCC)CCC,Tri-n-propylchlorosilane,349.0,pan12,1
C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,Tris(trimethylsiloxy)boron,315.0,pan12,1
C(#CCCCCC)[Si](C)(C)C,1-Heptynyltrimethylsilane,315.0,pan12,1
C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,Tristrimethylsiloxymethylsilane,336.0,pan12,1
C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,Diphenyldichlorosilane,415.0,pan12,1
C(CC)O[Si](OCCC)(OCCC)OCCC,Tetra-n-propoxysilane,368.0,pan12,1
C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],Diphenylmethylsilane,393.0,pan12,1
C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,Hexadecamethylheptasiloxane,406.0,pan12,1
