compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin
dichlorochromium;octadecanoic acid;hydrate,275.15,1,CCCCCCCCCCCCCCCCCC(=O)O.O.Cl[Cr]Cl.Cl[Cr]Cl,pubchem,0,1,0
(E)-but-2-enedioic acid,546.15,1,C(=CC(=O)O)C(=O)O,pubchem,0,0,0
(Z)-octadec-9-enoic acid,462.15,1,CCCCCCCCC=CCCCCCCCC(=O)O,pubchem,0,0,0
2-bromo-2-chloroacetic acid,383.15,1,C(C(=O)O)(Cl)Br,pubchem,0,0,0
(E)-but-2-enoic acid,361.15,1,CC=CC(=O)O,pubchem,0,0,0
"(2E,4E)-hexa-2,4-dienoic acid",400.15,1,CC=CC=CC(=O)O,pubchem,0,0,0
(Z)-but-2-enoic acid,361.15,1,CC=CC(=O)O,pubchem,0,0,0
"(2Z,4E)-hexa-2,4-dienoic acid",400.15,1,CC=CC=CC(=O)O,pubchem,0,0,0
"(E)-2,3-dichloro-4-oxobut-2-enoic acid",373.15,1,C(=O)C(=C(C(=O)O)Cl)Cl,pubchem,0,0,0
3-[bis(2-carboxyethyl)phosphanyl]propanoic acid;hydrochloride,475.15,1,C(CP(CCC(=O)O)CCC(=O)O)C(=O)O.Cl,pubchem,0,0,0
"(Z)-2,3-dichloro-4-oxobut-2-enoic acid",373.15,1,C(=O)C(=C(C(=O)O)Cl)Cl,pubchem,0,0,0
3-(3-ethylcyclopentyl)propanoic acid,374.15,1,CCC1CCC(C1)CCC(=O)O,pubchem,0,0,0
zinc;octadecanoic acid,550.15,1,CCCCCCCCCCCCCCCCCC(=O)O.[Zn+2],pubchem,0,1,0
"(4aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid",460.15,1,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,pubchem,0,0,0
"3-[(1S,3R)-3-ethylcyclopentyl]propanoic acid",374.15,1,CCC1CCC(C1)CCC(=O)O,pubchem,0,0,0
aceticacid,313,1,C(C)(=O)O,carroll11,0,0,0
propionicacid,331,1,C(CC)(=O)O,carroll11,0,0,0
butanoicacid,342,1,C(CCC)(=O)O,carroll11,0,0,0
pentanoicacid,358,1,C(CCCC)(=O)O,carroll11,0,0,0
hexanoicacid,375,1,C(CCCCC)(=O)O,carroll11,0,0,0
heptanoicacid,382,1,C(CCCCCC)(=O)O,carroll11,0,0,0
2-methylpropanoicacid,332,1,CC(C(=O)O)C,carroll11,0,0,0
3-methylbutanoicacid,347,1,CC(CC(=O)O)C,carroll11,0,0,0
2-methylbutanoicacid,350,1,CC(C(=O)O)CC,carroll11,0,0,0
2-ethylbutanoicacid,360,1,C(C)C(C(=O)O)CC,carroll11,0,0,0
"3,3-dimethylbutanoicacid",361,1,CC(CC(=O)O)(C)C,carroll11,0,0,0
4-methylpentanoicacid,370,1,CC(CCC(=O)O)C,carroll11,0,0,0
2-methylpentanoicacid,364,1,CC(C(=O)O)CCC,carroll11,0,0,0
