compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin
"3,3-dimethyl-2-oxobutanoic acid",351.55,1,CC(C)(C)C(=O)C(=O)O,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester",370.372,1,C=C(C)C(=O)OCCO,le15,0,0,0
"2-Propenoic acid, 2-hydroxypropyl ester (9CI)",353.05,1,C=CC(=O)OCC(C)O,le15,0,0,0
"Acrylic acid, 2-methoxyethyl ester (8CI)",333.15,1,C=CC(=O)OCCOC,le15,0,0,0
"Butanoic acid, 4-oxo-, ethyl ester",341.65,1,CCOC(=O)CCC=O,le15,0,0,0
"Butanoic acid, propyl ester",312.05,1,CCCOC(=O)CCC,le15,0,0,0
"Hexanoic acid, methyl ester",315.15,1,CCCCCC(=O)OC,le15,0,0,0
"Butyric acid, 3-methyl-, ethyl ester (6CI,7CI,8CI)",299.15,1,CCOC(=O)CC(C)C,le15,0,0,0
"Valeric acid, ethyl ester (8CI)",312.05,1,CCCCC(=O)OCC,le15,0,0,0
"Propanoic acid, 2-methylpropyl ester",299.15,1,CCC(=O)OCC(C)C,le15,0,0,0
"Propanoic acid, butyl ester",311.15,1,CCCCOC(=O)CC,le15,0,0,0
"Formic acid, hexyl ester",320.95,1,CCCCCCOC=O,le15,0,0,0
2-methylhexanoic acid,330.15,1,CCCCC(C)C(=O)O,le15,0,0,0
"Thiocyanic acid, methylene ester",399.45,1,N#CSCSC#N,le15,0,0,0
"Butyric acid, 2-methyl-, ethyl ester (8CI)",306.55,1,CCOC(=O)C(C)CC,le15,0,0,0
"Butanoic acid, 2-ethyl-2-methyl-",365.15,1,CCC(C)(CC)C(=O)O,le15,0,0,0
"Propanoic acid, 1,1-dimethylethyl ester",298.55,1,CCC(=O)OC(C)(C)C,le15,0,0,0
"2,2-dimethylpentanoic acid",365.15,1,CCCC(C)(C)C(=O)O,le15,0,0,0
"2-chloro-2,2-difluoroacetic acid",299.05,1,O=C(O)C(F)(F)Cl,le15,0,0,0
"Pentanoic acid, 5-amino-4-oxo-",407.45,1,NCC(=O)CCC(=O)O,le15,0,0,0
"Carbamic acid, 1-methylbutyl ester",367.35,1,CCCC(C)OC(N)=O,le15,0,0,0
"Hexanoic acid, 6-amino-",381.55,1,NCCCCCC(=O)O,le15,0,0,0
"Propanedioic acid, dimethyl ester",363.15,1,COC(=O)CC(=O)OC,le15,0,0,0
Pentanedioic acid,424.35,1,O=C(O)CCCC(=O)O,le15,0,0,0
"Ethaneperoxoic acid, 1,1-dimethylethyl ester",312.95,1,CC(=O)OOC(C)(C)C,le15,0,0,0
"Acetic acid, 2-methoxy-1-methylethyl ester",321.05,1,COCC(C)OC(C)=O,le15,0,0,0
6-hydroxyhexanoic acid,406.05,1,O=C(O)CCCCCO,le15,0,0,0
"Acetic acid, butoxy-",370.65,1,CCCCOCC(=O)O,le15,0,0,0
"Butanoic acid, 3-hydroxy-, ethyl ester",337.15,1,CCOC(=O)CC(C)O,le15,0,0,0
"Acetic acid, (trimethylsilyl)-",334.65,1,C[Si](C)(C)CC(=O)O,le15,1,1,0
"Isocyanic acid, p-tolyl ester (7CI,8CI)",337.05,1,Cc1ccc(N=C=O)cc1,le15,0,0,0
"Isocyanic acid, o-tolyl ester (7CI,8CI)",365.15,1,Cc1ccccc1N=C=O,le15,0,0,0
4-Thiazolidinecarboxylic acid,438.85,1,O=C(O)C1CSCN1,le15,0,0,0
"Acetic acid, 2,2'-oxybis-",474.85,1,O=C(O)COCC(=O)O,le15,0,0,0
"Formic acid, oxydi-, dimethyl ester (7CI,8CI)",353.15,1,COC(=O)OC(=O)OC,le15,0,0,0
2-hydroxybutanedioic acid,426.55,1,O=C(O)CC(O)C(=O)O,le15,0,0,0
"Carbamodithioic acid, dimethyl-, methyl ester (9CI)",327.05,1,CSC(=S)N(C)C,le15,0,0,0
"Benzoic acid, methyl ester",353.35,1,COC(=O)c1ccccc1,le15,0,0,0
"Benzoic acid, 3-methyl-",423.15,1,Cc1cccc(C(=O)O)c1,le15,0,0,0
"Benzoic acid, 4-methyl-",397.85,1,Cc1ccc(C(=O)O)cc1,le15,0,0,0
"Acetic acid, phenyl-",429.363,1,O=C(O)Cc1ccccc1,le15,0,0,0
"Formic acid, phenylmethyl ester",355.15,1,O=COCc1ccccc1,le15,0,0,0
"Benzoic acid, hydrazide",412.85,1,NNC(=O)c1ccccc1,le15,0,0,0
"Acetic acid, chloro-, isopropyl ester (8CI)",329.15,1,CC(C)OC(=O)CCl,le15,0,0,0
"Propionic acid, 2-chloro-, ethyl ester (8CI)",311.15,1,CCOC(=O)C(C)Cl,le15,0,0,0
"Propionic acid, 3-chloro-, ethyl ester (8CI)",327.55,1,CCOC(=O)CCCl,le15,0,0,0
"Benzoic acid, 2-amino-",415.55,1,Nc1ccccc1C(=O)O,le15,0,0,0
"Benzoic acid, 4-amino-",432.55,1,Nc1ccc(C(=O)O)cc1,le15,0,0,0
"Carbamic acid, phenyl ester (8CI)(9CI)",432.45,1,NC(=O)Oc1ccccc1,le15,0,0,0
"Phosphorous acid, diethyl ester",355.372,1,CCOP([O-])OCC,le15,0,0,0
"Benzoic acid, 2-hydroxy-",430.15,1,O=C(O)c1ccccc1O,le15,0,0,0
"Benzoic acid, 4-hydroxy-",444.45,1,O=C(O)c1ccc(O)cc1,le15,0,0,0
"2-Propenoic acid, 3-(1H-imidazol-4-yl)-",503.25,1,O=C(O)C=Cc1c[nH]cn1,le15,0,0,0
Benzenecarbothioic acid,367.15,1,OC(=S)c1ccccc1,le15,0,0,0
"Sulfurous acid, diethyl ester",326.15,1,CCOS(=O)OCC,le15,0,0,0
"Methanesulfonic acid, 1-methylethyl ester",377.15,1,CC(C)OS(C)(=O)=O,le15,0,0,0
"Methanesulfonic acid, propyl ester",365.55,1,CCCOS(C)(=O)=O,le15,0,0,0
Monobromoacetic acid,352.163,1,O=C(O)CBr,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-cyanoethyl ester (9CI)",381.95,1,C=C(C)C(=O)OCCC#N,le15,0,0,0
Methanearsonic acid,478.95,1,C[As](=O)(O)O,le15,0,1,0
"Phosphoric acid, trimethyl ester",356.85,1,COP(=O)(OC)OC,le15,0,0,0
"Phosphonofluoridic acid, methyl-, 1-methylethyl ester",315.85,1,CC(C)OP(C)(=O)F,le15,0,0,0
3-(furan-2-yl)propanoic acid,376.15,1,O=C(O)CCc1ccco1,le15,0,0,0
"Acetic acid, 2,4-hexadienyl ester",352.75,1,CC=CC=CCOC(C)=O,le15,0,0,0
Oct-2-ynoic acid,374.25,1,CCCCCC#CC(=O)O,le15,0,0,0
"4-Pentenoic acid, 2-(2-propenyl)- (9CI)",329.55,1,C=CCC(CC=C)C(=O)O,le15,0,0,0
"Acetic acid, cyano-, butyl ester",364.15,1,CCCCOC(=O)CC#N,le15,0,0,0
"Acetic acid, trifluoro-, ethyl ester",272.15,1,CCOC(=O)C(F)(F)F,le15,0,0,0
"Phosphinic acid, phenyl-",399.381,1,O=[PH](O)c1ccccc1,le15,0,0,0
"Hexa-2,4-dienedioic acid",450.05,1,O=C(O)C=CC=CC(=O)O,le15,0,0,0
"Phosphorothioic acid, O,O-dimethyl ester",331.25,1,COP([O-])(=S)OC,le15,0,0,0
"2-Propenoic acid, 2-methyl-, oxiranylmethyl ester",349.261,1,C=C(C)C(=O)OCC1CO1,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-methylpropyl ester",319.15,1,C=C(C)C(=O)OCC(C)C,le15,0,0,0
"2-Propenoic acid, 2-methyl-, butyl ester",323.75,1,C=C(C)C(=O)OCCCC,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 1,1-dimethylethyl ester",314.25,1,C=C(C)C(=O)OC(C)(C)C,le15,0,0,0
1-methylcyclohexane-1-carboxylic acid,387.15,1,CC1(C(=O)O)CCCCC1,le15,0,0,0
"2-Propenoic acid, pentyl ester",321.35,1,C=CC(=O)OCCCCC,le15,0,0,0
"Cyclohexanecarboxylic acid, methyl ester",331.85,1,COC(=O)C1CCCCC1,le15,0,0,0
2-cyclohexylacetic acid,397.05,1,O=C(O)CC1CCCCC1,le15,0,0,0
"2-Hexenoic acid, 2-ethyl-",594.05,1,CCCC=C(CC)C(=O)O,le15,0,0,0
"2-Butenoic acid, 2-methyl-, 1-methylethyl ester, (E)- (9CI)",328.05,1,C/C=C(\C)C(=O)OC(C)C,le15,0,0,0
"Carbonochloridic acid, 2-chloroethyl ester",343.15,1,O=C(Cl)OCCCl,le15,0,0,0
"Propanoic acid, 2,3-dichloro- (9CI)",358.95,1,O=C(O)C(Cl)CCl,le15,0,0,0
"Acrylic acid, 3-(dimethylamino)-, ethyl ester, (E)-",342.05,1,CCOC(=O)/C=C/N(C)C,le15,0,0,0
"2-Propenoic acid, 2-(dimethylamino)ethyl ester",302.15,1,C=CC(=O)OCCN(C)C,le15,0,0,0
"2-Propenoic acid, 2-ethoxyethyl ester",325.95,1,C=CC(=O)OCCOCC,le15,0,0,0
"Pentanoic acid, 4-oxo-, ethyl ester",351.05,1,CCOC(=O)CCC(C)=O,le15,0,0,0
"Isobutyric acid, butyl ester (6CI,7CI,8CI)",319.85,1,CCCCOC(=O)C(C)C,le15,0,0,0
"Pentanoic acid, 2-propyl-",384.15,1,CCCC(CCC)C(=O)O,le15,0,0,0
"Heptanoic acid, methyl ester",325.15,1,CCCCCCC(=O)OC,le15,0,0,0
"Butanoic acid, butyl ester",322.55,1,CCCCOC(=O)CCC,le15,0,0,0
"Hexanoic acid, ethyl ester",322.55,1,CCCCCC(=O)OCC,le15,0,0,0
Octanoic acid,380.529,1,CCCCCCCC(=O)O,le15,0,0,0
"Hexanoic acid, 2-ethyl-",389.75,1,CCCCC(CC)C(=O)O,le15,0,0,0
"Propanoic acid, 2-methyl-, 2-methylpropyl ester",307.85,1,CC(C)COC(=O)C(C)C,le15,0,0,0
"Valeric acid, propyl ester (8CI)",325.55,1,CCCCC(=O)OCCC,le15,0,0,0
"Acetic acid, hexyl ester",310.35,1,CCCCCCOC(C)=O,le15,0,0,0
"Butanoic acid, 2-methylpropyl ester",318.75,1,CCCC(=O)OCC(C)C,le15,0,0,0
"Acetic acid, 2-ethylbutyl ester",325.95,1,CCC(CC)COC(C)=O,le15,0,0,0
"Heptanoic acid, 7-amino-",390.65,1,NCCCCCCC(=O)O,le15,0,0,0
"2,2,3,3-tetrafluoropropanoic acid",312.05,1,O=C(O)C(F)(F)C(F)F,le15,0,0,0
"Ethanedioic acid, 1,2-diethyl ester",349.15,1,CCOC(=O)C(=O)OCC,le15,0,0,0
"Butanedioic acid, dimethyl ester",361.55,1,COC(=O)CCC(=O)OC,le15,0,0,0
Hexanedioic acid,445.895,1,O=C(O)CCCCC(=O)O,le15,0,0,0
"4-Thiazolecarboxylic acid, 2-amino-4,5-dihydro-",472.45,1,NC1=NC(C(=O)O)CS1,le15,0,0,0
"Propanoic acid, 2-hydroxy-, butyl ester",344.15,1,CCCCOC(=O)C(C)O,le15,0,0,0
"Propanoic acid, 3-ethoxy-, ethyl ester",325.35,1,CCOCCC(=O)OCC,le15,0,0,0
"(2S)-2,6-diaminohexanoic acid",415.35,1,NCCCC[C@H](N)C(=O)O,le15,0,0,0
"2-Propenoic acid, 2-(methylthio)ethyl ester (9CI)",360.85,1,C=CC(=O)OCCSC,le15,0,0,0
"Propionic acid, 3-(trimethylsilyl)- (8CI)",362.15,1,C[Si](C)(C)CCC(=O)O,le15,1,1,0
"2-Butenedioic acid, 2,3-dihydroxy-, (E)- (9CI)",475.363,1,O=C(O)/C(O)=C(\O)C(=O)O,le15,0,0,0
"2-Propenoic acid, 3-phenyl-, (2E)-",462.65,1,O=C(O)/C=C/c1ccccc1,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",348.45,1,C=C(C)C(=O)OCCCl,le15,0,0,0
"(2R,3R)-2,3-dihydroxybutanedioic acid",482.55,1,O=C(O)[C@H](O)[C@@H](O)C(=O)O,le15,0,0,0
"Benzoic acid, 2-formyl-",435.75,1,O=Cc1ccccc1C(=O)O,le15,0,0,0
4-formylbenzoic acid,442.35,1,O=Cc1ccc(C(=O)O)cc1,le15,0,0,0
"Benzoic acid, 4-methyl-, methyl ester",363.15,1,COC(=O)c1ccc(C)cc1,le15,0,0,0
"Acetic acid, phenyl-, methyl ester",367.05,1,COC(=O)Cc1ccccc1,le15,0,0,0
"Formic acid, 2-phenylethyl ester",392.25,1,O=COCCc1ccccc1,le15,0,0,0
"Acetic acid, phenylmethyl ester",375.35,1,CC(=O)OCc1ccccc1,le15,0,0,0
"Acetic acid, 4-methylphenyl ester",363.15,1,CC(=O)Oc1ccc(C)cc1,le15,0,0,0
Hydrocinnamic acid (8CI),443.195,1,O=C(O)CCc1ccccc1,le15,0,0,0
"2,4-dimethylbenzoic acid",404.45,1,Cc1ccc(C(=O)O)c(C)c1,le15,0,0,0
"2,6-dimethylbenzoic acid",399.25,1,Cc1cccc(C)c1C(=O)O,le15,0,0,0
2-phenylpropanoic acid,421.15,1,CC(C(=O)O)c1ccccc1,le15,0,0,0
"Acetic acid, 2-phenylhydrazide",360.95,1,CC(=O)NNc1ccccc1,le15,0,0,0
"Acetic acid, phenyl-, hydrazide (8CI)",447.65,1,NNC(=O)Cc1ccccc1,le15,0,0,0
"Butanoic acid, 2-hydroxy-4-(methylthio)-",418.35,1,CSCCC(O)C(=O)O,le15,0,0,0
"Propionic acid, 2-methyl-2-(methylsulfinyl)-",441.35,1,CS(=O)C(C)(C)C(=O)O,le15,0,0,0
"Acetic acid, chloro-, 1,1-dimethylethyl ester",314.55,1,CC(C)(C)OC(=O)CCl,le15,0,0,0
"Butyric acid, 4-chloro-, ethyl ester (8CI)",324.85,1,CCOC(=O)CCCCl,le15,0,0,0
"Hexanoic acid, 6-chloro-",380.75,1,O=C(O)CCCCCCl,le15,0,0,0
"Acetic acid, (p-aminophenyl)-",435.05,1,Nc1ccc(CC(=O)O)cc1,le15,0,0,0
3-Amino-p-toluic acid,446.45,1,Cc1ccc(C(=O)O)c(N)c1,le15,0,0,0
"Benzoic acid, 2-amino-, methyl ester",386.05,1,COC(=O)c1ccccc1N,le15,0,0,0
"Phosphonic acid, ethyl-, ethyl methyl ester",353.15,1,CCOP(=O)(CC)OC,le15,0,0,0
"Benzoic acid, 2-hydroxy-3-methyl-",418.55,1,Cc1cccc(C(=O)O)c1O,le15,0,0,0
4-methoxybenzoic acid,388.61,1,COc1ccc(C(=O)O)cc1,le15,0,0,0
"Benzoic acid, 2-hydroxy-, methyl ester",359.95,1,COC(=O)c1ccccc1O,le15,0,0,0
"Acetic acid, phenoxy-",388.25,1,O=C(O)COc1ccccc1,le15,0,0,0
2-(2-hydroxyphenyl)acetic acid,435.75,1,O=C(O)Cc1ccccc1O,le15,0,0,0
"Benzoic acid, 4-hydrazinyl-",455.05,1,NNc1ccc(C(=O)O)cc1,le15,0,0,0
"Methanesulfonic acid, butyl ester",375.15,1,CCCCOS(C)(=O)=O,le15,0,0,0
"Propanoic acid, 3-bromo-",371.85,1,O=C(O)CCBr,le15,0,0,0
2-bromopropanoic acid,349.45,1,CC(Br)C(=O)O,le15,0,0,0
"Benzoic acid, 5-amino-2-hydroxy-",471.25,1,Nc1ccc(O)c(C(=O)O)c1,le15,0,0,0
"Anthranilic acid, 3-hydroxy- (8CI)",442.75,1,Nc1c(O)cccc1C(=O)O,le15,0,0,0
"Isocyanic acid, m-chlorophenyl ester",355.15,1,O=C=Nc1cccc(Cl)c1,le15,0,0,0
"Benzoic acid, 2,4-dihydroxy-",491.95,1,O=C(O)c1ccc(O)cc1O,le15,0,0,0
"Benzoic acid, 3,4-dihydroxy- (9CI)",489.45,1,O=C(O)c1ccc(O)c(O)c1,le15,0,0,0
"Benzoic acid, 2,5-dihydroxy-",487.15,1,O=C(O)c1cc(O)ccc1O,le15,0,0,0
"2-Butenoic acid, anhydride",383.75,1,CC=CC(=O)OC(=O)C=CC,le15,0,0,0
"Phosphonothioic acid, ethyl-, O-ethyl ester",354.05,1,CCOP([O-])(=S)CC,le15,0,0,0
"2-Octynoic acid, methyl ester",362.05,1,CCCCCC#CC(=O)OC,le15,0,0,0
"2-Propenoic acid, cyclohexyl ester",344.45,1,C=CC(=O)OC1CCCCC1,le15,0,0,0
"1,2,3,3a,4,5,6,6a-octahydropentalene-1-carboxylic acid",396.85,1,O=C(O)C1CCC2CCCC21,le15,0,0,0
2-Nonynoic acid,405.95,1,CCCCCCC#CC(=O)O,le15,0,0,0
"4-Pyridinecarboxylic acid, 1,2-dihydro-6-hydroxy-2-oxo-",454.05,1,O=C(O)c1cc(O)[nH]c(=O)c1,le15,0,0,0
"3-Pyridinecarboxylic acid, 1,2,5,6-tetrahydro-1-methyl-, methyl ester",354.25,1,COC(=O)C1=CCCN(C)C1,le15,0,0,0
"Phosphorothioic acid, O,O,O-trimethyl ester",306.35,1,COP(=S)(OC)OC,le15,0,0,0
"Phosphorothioic acid, O,O,S-trimethyl ester",329.15,1,COP(=O)(OC)SC,le15,0,0,0
"Hexanoic acid, 2-propenyl ester",347.15,1,C=CCOC(=O)CCCCC,le15,0,0,0
3-cyclohexylpropanoic acid,404.65,1,O=C(O)CCC1CCCCC1,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2,2-dimethylpropyl ester",327.05,1,C=C(C)C(=O)OCC(C)(C)C,le15,0,0,0
"2-Propenoic acid, hexyl ester",331.45,1,C=CC(=O)OCCCCCC,le15,0,0,0
"Methacrylic acid, pentyl ester (8CI)",333.45,1,C=C(C)C(=O)OCCCCC,le15,0,0,0
"Cyclohexanecarboxylic acid, ethyl ester",341.65,1,CCOC(=O)C1CCCCC1,le15,0,0,0
2-Nonenoic acid,441.45,1,CCCCCCC=CC(=O)O,le15,0,0,0
"2-Propenoic acid, 2-ethylbutyl ester",328.85,1,C=CC(=O)OCC(CC)CC,le15,0,0,0
"Benzoic acid, 2-chloro-",393.65,1,O=C(O)c1ccccc1Cl,le15,0,0,0
"Benzoic acid, 3-chloro-",397.05,1,O=C(O)c1cccc(Cl)c1,le15,0,0,0
"Formic acid, chloro-, phenyl ester (8CI)",352.15,1,O=C(Cl)Oc1ccccc1,le15,0,0,0
"Benzoic acid, 4-chloro-",511.15,1,O=C(O)c1ccc(Cl)cc1,le15,0,0,0
"Cyclohexanecarboxylic acid, 4-(aminomethyl)-, trans-",408.507,1,NC[C@H]1CC[C@H](C(=O)O)CC1,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester",343.75,1,C=C(C)C(=O)OCCN(C)C,le15,0,0,0
"2-Pyridinecarboxylic acid, 6-chloro- (9CI)",422.413,1,O=C(O)c1cccc(Cl)n1,le15,0,0,0
"Benzoic acid, 2,6-difluoro-",366.65,1,O=C(O)c1c(F)cccc1F,le15,0,0,0
"Butanoic acid, 2-acetyl-3-oxo-, methyl ester (9CI)",355.55,1,COC(=O)C(C(C)=O)C(C)=O,le15,0,0,0
"2-Butenedioic acid, 2-methyl-, dimethyl ester, (E)-",364.65,1,COC(=O)/C=C(\C)C(=O)OC,le15,0,0,0
"1,3-Cyclopentanedicarboxylic acid",435.05,1,O=C(O)C1CCC(C(=O)O)C1,le15,0,0,0
"Pipecolic acid, 1-nitroso-",463.25,1,O=NN1CCCCC1C(=O)O,le15,0,0,0
"Butanoic acid, anhydride",355.15,1,CCCC(=O)OC(=O)CCC,le15,0,0,0
"Butanoic acid, 3-oxo-, butyl ester",352.75,1,CCCCOC(=O)CC(C)=O,le15,0,0,0
"Hexanoic acid, 3-oxo-, ethyl ester",351.45,1,CCCC(=O)CC(=O)OCC,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-ethoxyethyl ester",344.85,1,C=C(C)C(=O)OCCOCC,le15,0,0,0
"Butanoic acid, 3-methylbutyl ester",330.95,1,CCCC(=O)OCCC(C)C,le15,0,0,0
"Heptanoic acid, ethyl ester",339.25,1,CCCCCCC(=O)OCC,le15,0,0,0
"Butanoic acid, 3-methyl-, butyl ester",335.95,1,CCCCOC(=O)CC(C)C,le15,0,0,0
"Octanoic acid, methyl ester",346.15,1,CCCCCCCC(=O)OC,le15,0,0,0
Nonanoic acid,388.05,1,CCCCCCCCC(=O)O,le15,0,0,0
"Acetic acid, heptyl ester",341.75,1,CCCCCCCOC(C)=O,le15,0,0,0
"Formic acid, octyl ester",350.35,1,CCCCCCCCOC=O,le15,0,0,0
"Butanoic acid, pentyl ester",340.95,1,CCCCCOC(=O)CCC,le15,0,0,0
"Butanoic acid, 3-methyl-, 2-methylpropyl ester",323.65,1,CC(C)COC(=O)CC(C)C,le15,0,0,0
"Pentanoic acid, butyl ester",337.85,1,CCCCOC(=O)CCCC,le15,0,0,0
"Propionic acid, hexyl ester (6CI,7CI,8CI)",338.15,1,CCCCCCOC(=O)CC,le15,0,0,0
2-methyloctanoic acid,402.85,1,CCCCCCC(C)C(=O)O,le15,0,0,0
"Isocyanic acid, p-phenylene ester (6CI,7CI,8CI)",365.55,1,O=C=Nc1ccc(N=C=O)cc1,le15,0,0,0
Heptanedioic acid,455.05,1,O=C(O)CCCCCC(=O)O,le15,0,0,0
2-butylpropanedioic acid,442.55,1,CCCCC(C(=O)O)C(=O)O,le15,0,0,0
"Glutaric acid, dimethyl ester (8CI)",376.45,1,COC(=O)CCCC(=O)OC,le15,0,0,0
"Glutaric acid, 3,3-dimethyl- (8CI)",422.85,1,CC(C)(CC(=O)O)CC(=O)O,le15,0,0,0
"Propanedioic acid, diethyl ester",373.15,1,CCOC(=O)CC(=O)OCC,le15,0,0,0
"Phosphorochloridothioic acid, O,O-dimethyl ester",366.15,1,COP(=S)(Cl)OC,le15,0,0,0
"Carbamothioic acid, diethyl-, S-ethyl ester (9CI)",357.35,1,CCSC(=O)N(CC)CC,le15,0,0,0
1-benzofuran-2-carboxylic acid,416.45,1,O=C(O)c1cc2ccccc2o1,le15,0,0,0
"Formic acid, oxydi-, diethyl ester",342.55,1,CCOC(=O)OC(=O)OCC,le15,0,0,0
"2-Propenoic acid, 3-phenyl-, methyl ester",414.45,1,COC(=O)C=Cc1ccccc1,le15,0,0,0
4-phenylbut-3-enoic acid,488.95,1,O=C(O)CC=Cc1ccccc1,le15,0,0,0
"2-Propenoic acid, phenylmethyl ester",388.65,1,C=CC(=O)OCc1ccccc1,le15,0,0,0
"Phosphorodichloridic acid, ethyl ester",301.05,1,CCOP(=O)(Cl)Cl,le15,0,0,0
"2-Propenoic acid, 3-(4-aminophenyl)-",455.75,1,Nc1ccc(C=CC(=O)O)cc1,le15,0,0,0
"Isothiocyanic acid, phenethyl ester",373.15,1,S=C=NCCc1ccccc1,le15,0,0,0
"Acetic acid, trichloro-",339.494,1,O=C(O)C(Cl)(Cl)Cl,le15,0,0,0
"2,2,3,3,3-pentafluoropropanoic acid",283.45,1,O=C(O)C(F)(F)C(F)(F)F,le15,0,0,0
"Methanesulfonic acid, 1,1,1-trifluoro-, methyl ester",311.483,1,COS(=O)(=O)C(F)(F)F,le15,0,0,0
"Isocyanic acid, p-nitrophenyl ester (8CI)",339.15,1,O=C=Nc1ccc([N+](=O)[O-])cc1,le15,0,0,0
"Benzoic acid, 4-formyl-, methyl ester",417.15,1,COC(=O)c1ccc(C=O)cc1,le15,0,0,0
"Acetic acid, phenyl-, ethyl ester",371.35,1,CCOC(=O)Cc1ccccc1,le15,0,0,0
"Benzoic acid, 1-methylethyl ester",366.15,1,CC(C)OC(=O)c1ccccc1,le15,0,0,0
4-phenylbutanoic acid,461.05,1,O=C(O)CCCc1ccccc1,le15,0,0,0
2-phenylbutanoic acid,443.35,1,CCC(C(=O)O)c1ccccc1,le15,0,0,0
"Acetic acid, 2-phenylethyl ester",374.85,1,CC(=O)OCCc1ccccc1,le15,0,0,0
"Propionic acid, benzyl ester (6CI,7CI,8CI)",369.25,1,CCC(=O)OCc1ccccc1,le15,0,0,0
"Acetoacetic acid, 2-chloro-, ethyl ester (8CI)",323.15,1,CCOC(=O)C(Cl)C(C)=O,le15,0,0,0
"Butanoic acid, 4-chloro-3-oxo-, ethyl ester",369.15,1,CCOC(=O)CC(=O)CCl,le15,0,0,0
"Heptanoic acid, 7-chloro-",390.15,1,O=C(O)CCCCCCCl,le15,0,0,0
"Phosphorodichloridothioic acid, methyl ester",323.05,1,COP(=S)(Cl)Cl,le15,0,0,0
"Anthranilic acid, ethyl ester (6CI,7CI,8CI)",399.65,1,CCOC(=O)c1ccccc1N,le15,0,0,0
"Carbamic acid, methyl-, 3-methylphenyl ester",373.05,1,CNC(=O)Oc1cccc(C)c1,le15,0,0,0
(2S)-2-amino-3-phenylpropanoic acid,412.95,1,N[C@@H](Cc1ccccc1)C(=O)O,le15,0,0,0
"1,3-Benzenedicarboxylic acid",469.899,1,O=C(O)c1cccc(C(=O)O)c1,le15,0,0,0
(Z)-2-fluoro-3-phenylprop-2-enoic acid,401.85,1,O=C(O)/C(F)=C/c1ccccc1,le15,0,0,0
"Phosphonic acid, ethyl-, diethyl ester",365.85,1,CCOP(=O)(CC)OCC,le15,0,0,0
"Phosphorous acid, triethyl ester",327.25,1,CCOP(OCC)OCC,le15,0,0,0
"Phosphonic acid, bis(1-methylethyl) ester",365.95,1,CC(C)O[PH](=O)OC(C)C,le15,0,0,0
"Benzeneacetic acid, 4-methoxy-",397.45,1,COc1ccc(CC(=O)O)cc1,le15,0,0,0
"Benzoic acid, 4-methoxy-, methyl ester",371.25,1,COC(=O)c1ccc(OC)cc1,le15,0,0,0
2-phenoxypropanoic acid,359.15,1,CC(Oc1ccccc1)C(=O)O,le15,0,0,0
alpha-methoxy-alpha-phenylacetic acid,389.25,1,COC(C(=O)O)c1ccccc1,le15,0,0,0
"Acetic acid, phenoxy-, methyl ester",361.85,1,COC(=O)COc1ccccc1,le15,0,0,0
"Benzoic acid, 2-hydroxy-3-methyl-, methyl ester",368.65,1,COC(=O)c1cccc(C)c1O,le15,0,0,0
"Benzoic acid, 2-hydroxy-, ethyl ester",380.15,1,CCOC(=O)c1ccccc1O,le15,0,0,0
3-phenoxypropanoic acid,357.15,1,O=C(O)CCOc1ccccc1,le15,0,0,0
"Isonicotinimidic acid, 2-ethylthio-",406.35,1,CCc1cc(C(=N)S)ccn1,le15,0,0,0
"Butyric acid, 2-bromo- (8CI)",357.95,1,CCC(Br)C(=O)O,le15,0,0,0
"Butanoic acid, 4-bromo-",384.45,1,O=C(O)CCCBr,le15,0,0,0
"Propionic acid, 3-bromo-, methyl ester (8CI)",348.15,1,COC(=O)CCBr,le15,0,0,0
"Acetic acid, 2-bromo-, ethyl ester",320.95,1,CCOC(=O)CBr,le15,0,0,0
"Benzoic acid, 4-nitro-",439.65,1,O=C(O)c1ccc([N+](=O)[O-])cc1,le15,0,0,0
"Benzoic acid, 3-nitro-",430.65,1,O=C(O)c1cccc([N+](=O)[O-])c1,le15,0,0,0
"2,6-Pyridinedicarboxylic acid",507.35,1,O=C(O)c1cccc(C(=O)O)n1,le15,0,0,0
"Benzoic acid, 2-nitro-",430.65,1,O=C(O)c1ccccc1[N+](=O)[O-],le15,0,0,0
"2,5-Pyridinedicarboxylic acid",493.65,1,O=C(O)c1ccc(C(=O)O)nc1,le15,0,0,0
"Benzeneacetic acid, 3,4-dihydroxy- (9CI)",494.15,1,O=C(O)Cc1ccc(O)c(O)c1,le15,0,0,0
"Benzoic acid, 4-hydroxy-3-methoxy-",422.55,1,COc1cc(C(=O)O)ccc1O,le15,0,0,0
"Benzoic acid, 3,5-dihydroxy-, methyl ester",420.75,1,COC(=O)c1cc(O)cc(O)c1,le15,0,0,0
"Benzoic acid, 2,4-dihydroxy-, methyl ester",421.95,1,COC(=O)c1ccc(O)cc1O,le15,0,0,0
