,compound,flashpoint,pure substance,smiles,source
13517,2-Chloro-6-methylheptane,322.0,1.0,CC(C)CCCC(C)Cl,caroll15
13518,2-Chlorooctane,325.7,1.0,CCCCCCC(C)Cl,caroll15
13519,5-Chloroundecane,361.7,1.0,CCCCCCC(Cl)CCCC,caroll15
13520,2-Chloro-2-methylbutane,276.5,1.0,CCC(C)(C)Cl,caroll15
13521,"3-Chloro-2,3-dimethylpentane",302.9,1.0,CCC(C)(Cl)C(C)C,caroll15
13522,2-Chloro-2-methylhexane,306.7,1.0,CCCCC(C)(C)Cl,caroll15
13523,"2-Chloro-2,5-dimethylhexane",316.7,1.0,CC(C)CCC(C)(C)Cl,caroll15
13524,4-Chloro-4-methylheptane,320.3,1.0,CCCC(C)(Cl)CCC,caroll15
13525,"3-Chloro-3-ethyl-2,2-dimethylpentane",324.8,1.0,CCC(Cl)(CC)C(C)(C)C,caroll15
13526,2-Chloro-2-methyloctane,333.1,1.0,CCCCCCC(C)(C)Cl,caroll15
13527,4-Chloro-4-methyloctane,333.1,1.0,CCCCC(C)(Cl)CCC,caroll15
