compound,flashpoint,pure substance,smiles,source
n-Butyltrichlorosilane,327.15,1,C(CCC)[Si](Cl)(Cl)Cl,chen14
Trimethylsilylisothiocyanate,308.15,1,C[Si](C)(C)N=C=S,chen14
n-Propylmethyldichlorosilane,300.15,1,C(CC)[Si](Cl)(Cl)C,chen14
Bromomethyltrimethylsilane,289.15,1,BrC[Si](C)(C)C,chen14
ETHYLDIMETHYLCHLOROSILANE,269.15,1,C(C)[Si](Cl)(C)C,chen14
Methoxytrimethylsilane,243.15,1,CO[Si](C)(C)C,chen14
Dimethyldimethoxysilane,265.15,1,C[Si](OC)(OC)C,chen14
Methyltrimethoxysilane,284.15,1,C[Si](OC)(OC)OC,chen14
Tetramethoxysilane,294.15,1,CO[Si](OC)(OC)OC,chen14
Tetramethylsilane,245.15,1,C[Si](C)(C)C,chen14
Diethylsilane,253.15,1,C(C)[SiH2]CC,chen14
"(N,N-Dimethylamino)dimethylsilane",260.15,1,CN(C)[SiH](C)C,chen14
Tetraisocyanatosilane,323.15,1,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,chen14
Cyclopentyltrichlorosilane,350.15,1,C1(CCCC1)[Si](Cl)(Cl)Cl,chen14
Trimethylsilyltrifluoroacetate,273.15,1,C[Si](C)(C)OC(C(F)(F)F)=O,chen14
Cyclopentyldichlorosilane,316.15,1,C1(CCCC1)[SiH](Cl)Cl,chen14
3-Chloro-2-methylpropylmethyldichlorosilane,363.15,1,ClCC(C[Si](Cl)(Cl)C)C,chen14
Methylvinyldimethoxysilane,277.15,1,CC=C[SiH](OC)OC,chen14
Vinyltrimethoxysilane,296.15,1,C(=C)[Si](OC)(OC)OC,chen14
Trimethylvinylsilane,239.15,1,CC(=C(C)C)[SiH3],chen14
Diethylmethylchlorosilane,288.15,1,C(C)[Si](Cl)(C)CC,chen14
Chloromethyldimethylethoxysilane,299.15,1,ClC[Si](OCC)(C)C,chen14
Ethoxytrimethylsilane,246.15,1,C(C)O[Si](C)(C)C,chen14
Ethyltrimethoxysilane,300.15,1,C(C)[Si](OC)(OC)OC,chen14
"(N,N-Dimethylamino)trimethylsilane",254.5,1,CN(C)[Si](C)(C)C,chen14
Pentamethyldisiloxane,254.15,1,C[SiH](O[Si](C)(C)C)C,chen14
Phenylsilane,281.15,1,C1(=CC=CC=C1)[SiH3],chen14
1-Hexenyltrichlorosilane,333.15,1,C(=CCCCC)[Si](Cl)(Cl)Cl,chen14
Cyclohexyltrichlorosilane,358.15,1,C1(CCCCC1)[Si](Cl)(Cl)Cl,chen14
Bis(chloromethyl)tetramethyldisiloxane,346.15,1,ClC[Si](O[Si](C)(C)C)(C)CCl,chen14
Propargyloxytrimethylsilane,300.15,1,C(C#C)O[Si](C)(C)C,chen14
Divinyldimethylsilane,281.15,1,C(=C)[Si](C)(C)C=C,chen14
n-Hexyltrichlorosilane,358.15,1,C(CCCCC)[Si](Cl)(Cl)Cl,chen14
Hexyldichlorosilane,337.15,1,C(CCCCC)[SiH](Cl)Cl,chen14
"1,1 -Dimethyl-1-sila-2-oxacyclohexane",287.15,1,C[Si]1(OCCCC1)C,chen14
Acetoxymethyltrimethylsilane,293.15,1,C(C)(=O)OC[Si](C)(C)C,chen14
Allyltrimethylsilane,280.15,1,C(C=C)[Si](C)(C)C,chen14
Triethylchlorosilane,303.15,1,C(C)[Si](Cl)(CC)CC,chen14
t-Butyldimethylchlorosilane,295.15,1,C(C)(C)(C)[Si](Cl)(C)C,chen14
3-Chloropropylmethyldimethoxysilane,318.15,1,ClCCC[Si](OC)(OC)C,chen14
Trimethyl-n-propoxysilane,283.15,1,C[Si](OCCC)(C)C,chen14
t-Butyldimethylsilanol,318.15,1,C(C)(C)(C)[Si](O)(C)C,chen14
Dimethyldiethoxysilane,284.15,1,C[Si](OCC)(OCC)C,chen14
Triethylsilane,270.15,1,C(C)[SiH](CC)CC,chen14
Hexylsilane,285.15,1,C(CCCCC)[SiH3],chen14
t-Butyld imethyl silane,251.15,1,C(C)(C)(C)[SiH](C)C,chen14
Bis(dimethylamino)dimethylsilane,266.15,1,CN(C)[Si](C)(C)N(C)C,chen14
Hexamethylcyclotrisiloxane,305.15,1,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,chen14
Hexamethyldisilthiane,299.15,1,C[Si](S[Si](C)(C)C)(C)C,chen14
Hexamethyldisilazane,281.15,1,C[Si](N[Si](C)(C)C)(C)C,chen14
Tris(dimethylamino)silane,298.15,1,CN(C)[SiH](N(C)C)N(C)C,chen14
Hexamethyltrisiloxane,293.15,1,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,chen14
Phenylmethyldichlorosilane,340.15,1,C1(=CC=CC=C1)C[SiH](Cl)Cl,chen14
Phenylmethylchlorosilane,355.15,1,C1(=CC=CC=C1)C[SiH2]Cl,chen14
Methyltriacetoxysilane,358.15,1,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
Trivinylmethylsilane,288.15,1,C(=C)C(C=C)(C=C)[SiH3],chen14
Cyclohexylmethyldichlorosilane,355.15,1,C1(CCCCC1)C[SiH](Cl)Cl,chen14
"1-(Trimethylsiloxy)-1,3-butadiene",298.15,1,C[Si](OC=CC=C)(C)C,chen14
2-Chloromethyl-3-trimethylsilyl-1-propene,316.15,1,ClCC(=C)C[Si](C)(C)C,chen14
n-Heptyltrichlorosilane,337.15,1,C(CCCCCC)[Si](Cl)(Cl)Cl,chen14
n-Hexylmethyldichlorosilane,358.15,1,C(CCCCC)[Si](Cl)(Cl)C,chen14
Vinylmethyldiethoxysilane,289.15,1,C(=C)C[SiH](OCC)OCC,chen14
N-(Trimethylsilyl)morpholine,300.15,1,C[Si](N1CCOCC1)(C)C,chen14
t-Butoxytrimethylsilane,287.15,1,C(C)(C)(C)O[Si](C)(C)C,chen14
(1-Methoxy-2-propoxy)trimethylsilane,293.15,1,COCC(C)O[Si](C)(C)C,chen14
Methyltriethoxysilane,297.15,1,C[Si](OCC)(OCC)OCC,chen14
(Diethylamino)trimethylsilane,283.15,1,C(C)N(CC)[Si](C)(C)C,chen14
Bis(trimethylsilyl)methane,285.15,1,C[Si](C)(C)C[Si](C)(C)C,chen14
