compound,flashpoint,pure substance,smiles,source
n-Butyltrichlorosilane,327,1,C(CCC)[Si](Cl)(Cl)Cl,pan12
n-Propylmethyldichlorosilane,300,1,C(CC)[Si](Cl)(Cl)C,pan12
Bromomethyltrimethylsilane,289,1,BrC[Si](C)(C)C,pan12
Ethyldimethylchlorosilane,269,1,C(C)[Si](Cl)(C)C,pan12
"1,3-Dichlorotetramethyldisiloxane",288,1,Cl[Si](O[Si](Cl)(C)C)(C)C,pan12
Dimethyldimethoxysilane,265,1,C[Si](OC)(OC)C,pan12
Methyltrimethoxysilane,284,1,C[Si](OC)(OC)OC,pan12
Tetramethoxysilane,294,1,CO[Si](OC)(OC)OC,pan12
Tetramethylsilane,245,1,C[Si](C)(C)C,pan12
"(N,N-Dimethylamino)dimethylsilane",260,1,CN(C)[SiH](C)C,pan12
"1,1,3,3-Tetramethyldisiloxane",251,1,C[SiH](O[SiH](C)C)C,pan12
Tetramethyldisilazane,284,1,CN([Si](C)(C)C)[SiH3],pan12
Cyclopentyltrichlorosilane,350,1,C1(CCCC1)[Si](Cl)(Cl)Cl,pan12
Trimethylsilyltrifluoroacetate,273,1,C[Si](C)(C)OC(C(F)(F)F)=O,pan12
Cyclopentyldichlorosilane,316,1,C1(CCCC1)[SiH](Cl)Cl,pan12
Allyldimethylchlorosilane,278,1,C(C=C)[Si](Cl)(C)C,pan12
3-Chloro-2-methylpropylmethyldichlorosilane,363,1,ClCC(C[Si](Cl)(Cl)C)C,pan12
n-Butylmethyldichlorosilane,303,1,C(CCC)[Si](Cl)(Cl)C,pan12
Methylvinyldimethoxysilane,277,1,CC=C[SiH](OC)OC,pan12
Trimethylvinylsilane,239,1,CC(=C(C)C)[SiH3],pan12
Diethylmethylchlorosilane,288,1,C(C)[Si](Cl)(C)CC,pan12
Chloromethyldimethylethoxysilane,299,1,ClC[Si](OCC)(C)C,pan12
Ethyltrimethoxysilane,300,1,C(C)[Si](OC)(OC)OC,pan12
"(N,N-Dimethylamino)trimethylsilane",254,1,CN(C)[Si](C)(C)C,pan12
Bis(dimethylamino)methylsilane,270,1,CN(C)C(N(C)C)[SiH3],pan12
Pentamethyldisiloxane,254,1,C[SiH](O[Si](C)(C)C)C,pan12
Phenyldichlorosilane,333,1,C1(=CC=CC=C1)[SiH](Cl)Cl,pan12
Phenylsilane,281,1,C1(=CC=CC=C1)[SiH3],pan12
1-Hexenyltrichlorosilane,333,1,C(=CCCCC)[Si](Cl)(Cl)Cl,pan12
Bis(chloromethyl)tetramethyldisiloxane,346,1,ClC[Si](O[Si](C)(C)C)(C)CCl,pan12
N-Methyl-N-trimethylsilyltrifluoroacetamide,298,1,CN(C(C(F)(F)F)=O)[Si](C)(C)C,pan12
Propargyloxytrimethylsilane,300,1,C(C#C)O[Si](C)(C)C,pan12
Dimethyldiacetoxysilane,310,1,C[Si](OC(C)=O)(OC(C)=O)C,pan12
Divinyldimethylsilane,281,1,C(=C)[Si](C)(C)C=C,pan12
n-Hexyltrichlorosilane,358,1,C(CCCCC)[Si](Cl)(Cl)Cl,pan12
Vinyldimethylethoxysilane,277,1,C(=C)[Si](OCC)(C)C,pan12
"1,1-Dimethyl-1-sila-2-oxacyclohexane",287,1,C[Si]1(OCCCC1)C,pan12
Allyloxytrimethylsilane,273,1,C(C=C)O[Si](C)(C)C,pan12
Acetoxymethyltrimethylsilane,293,1,C(C)(=O)OC[Si](C)(C)C,pan12
Allyltrimethylsilane,280,1,C(C=C)[Si](C)(C)C,pan12
Triethylchlorosilane,303,1,C(C)[Si](Cl)(CC)CC,pan12
t-Butyldimethylchlorosilane,295,1,C(C)(C)(C)[Si](Cl)(C)C,pan12
3-Chloropropyltrimethoxysilane,348,1,ClCCC[Si](OC)(OC)OC,pan12
Trimethyl-n-propoxysilane,283,1,C[Si](OCCC)(C)C,pan12
t-Butyldimethylsilanol,318,1,C(C)(C)(C)[Si](O)(C)C,pan12
Dimethyldiethoxysilane,284,1,C[Si](OCC)(OCC)C,pan12
Triethylsilane,270,1,C(C)[SiH](CC)CC,pan12
Hexylsilane,285,1,C(CCCCC)[SiH3],pan12
t-Butyldimethylsilane,251,1,C(C)(C)(C)[SiH](C)C,pan12
Bis(dimethylamino)dimethylsilane,266,1,CN(C)[Si](C)(C)N(C)C,pan12
Hexamethylcyclotrisiloxane,305,1,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,pan12
Hexamethyldisilthiane,299,1,C[Si](S[Si](C)(C)C)(C)C,pan12
Hexamethyldisilane,272,1,C[Si]([Si](C)(C)C)(C)C,pan12
Tris(dimethylamino)silane,298,1,CN(C)[SiH](N(C)C)N(C)C,pan12
Hexamethyltrisiloxane,293,1,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,pan12
Phenylmethyldichlorosilane,355,1,C1(=CC=CC=C1)C[SiH](Cl)Cl,pan12
Phenylmethylchlorosilane,355,1,C1(=CC=CC=C1)C[SiH2]Cl,pan12
Trivinylmethylsilane,288,1,C(=C)C(C=C)(C=C)[SiH3],pan12
Cyclohexylmethyldichlorosilane,355,1,C1(CCCCC1)C[SiH](Cl)Cl,pan12
"1-(Trimethylsiloxy)-1,3-butadiene",298,1,C[Si](OC=CC=C)(C)C,pan12
2-Chloromethyl-3-trimethylsilyl-1-propene,316,1,ClCC(=C)C[Si](C)(C)C,pan12
n-Hexylmethyldichlorosilane,358,1,C(CCCCC)[Si](Cl)(Cl)C,pan12
Vinylmethyldiethoxysilane,289,1,C(=C)C[SiH](OCC)OCC,pan12
Vinyldiethylmethylsilane,288,1,C(=C)[Si](C)(CC)CC,pan12
N-(Trimethylsilyl)morpholine,300,1,C[Si](N1CCOCC1)(C)C,pan12
Bis(trimethylsilyl)carbodiimide,315,1,C[Si](C)(C)N=C=N[Si](C)(C)C,pan12
t-Butoxytrimethylsilane,287,1,C(C)(C)(C)O[Si](C)(C)C,pan12
Vinylpentamethyldisiloxane,285,1,C(=C)[Si](O[Si](C)(C)C)(C)C,pan12
Isobutyltrimethoxysilane,315,1,C(C(C)C)[Si](OC)(OC)OC,pan12
Methyltriethoxysilane,297,1,C[Si](OCC)(OCC)OCC,pan12
(Diethylamino)trimethylsilane,283,1,C(C)N(CC)[Si](C)(C)C,pan12
Bis(trimethylsilyl)methane,285,1,C[Si](C)(C)C[Si](C)(C)C,pan12
Phenylethyldichlorosilane,365,1,C1(=CC=CC=C1)CC[SiH](Cl)Cl,pan12
Phenyldimethylchlorosilane,334,1,C1(=CC=CC=C1)[Si](Cl)(C)C,pan12
"(N,N-Dimethylamino)triethylsilane",299,1,CN(C)[Si](CC)(CC)CC,pan12
Tetravinylsilane,291,1,C(=C)[Si](C=C)(C=C)C=C,pan12
Phenyldimethylsilane,311,1,C1(=CC=CC=C1)[SiH](C)C,pan12
Ethyltriacetoxysilane,377,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12
Cyclopentadienyltrimethylsilane,302,1,C1(C=CC=C1)[Si](C)(C)C,pan12
3-(Trimethylsilyl)cyclopentene,299,1,C[Si](C1C=CCC1)(C)C,pan12
"(2,4-Pentadienyl)trimethylsilane",291,1,C(C=CC=C)[Si](C)(C)C,pan12
n-Octyltrichlorosilane,369,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,pan12
n-Heptylmethyldichlorosilane,339,1,C(CCCCCC)[Si](Cl)(Cl)C,pan12
Triethylacetoxysilane,314,1,C(C)C(C(=O)O[SiH3])(CC)CC,pan12
Vinyltriethoxysilane,307,1,C(=C)[Si](OCC)(OCC)OCC,pan12
Vinyltriethylsilane,298,1,C(=C)[Si](CC)(CC)CC,pan12
"1,3-Divinyltetramethyldisilazane",307,1,C(=C)[Si](N[Si](C=C)(C)C)(C)C,pan12
Tetraethoxysilane,323,1,C(C)O[Si](OCC)(OCC)OCC,pan12
Tetraethylsilane,299,1,C(C)[Si](CC)(CC)CC,pan12
n-Octylsilane,309,1,C(CCCCCCC)[SiH3],pan12
Aminoethylaminopropyltrimethoxysilane,369,1,NCCNCCC[Si](OC)(OC)OC,pan12
Octamethyltrisiloxane,303,1,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,pan12
Octamethylcyclotetrasiloxane,330,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,pan12
Octamethylcyclotetrasilazane,339,1,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,pan12
Tetrakisdimethylsiloxysilane,340,1,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,pan12
p-Chlorophenyltrimethylsilane,322,1,ClC1=CC=C(C=C1)[Si](C)(C)C,pan12
Methylphenyldimethoxysilane,349,1,C[Si](OC)(OC)C1=CC=CC=C1,pan12
Phenyltrimethoxysilane,358,1,C1(=CC=CC=C1)[Si](OC)(OC)OC,pan12
Trimethylphenylsilane,313,1,C[Si](C1=CC=CC=C1)(C)C,pan12
2-Cyanoethyltriethoxysilane,359,1,C(#N)CC[Si](OCC)(OCC)OCC,pan12
Cyclohexylmethyldimethoxysilane,343,1,C1(CCCCC1)C[SiH](OC)OC,pan12
3-Glycidoxypropyltrimethoxysilane,383,1,C(C1CO1)OCCC[Si](OC)(OC)OC,pan12
Di-t-butylmethylchlorosilane,342,1,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,pan12
Hexyltrimethoxysilane,335,1,C(CCCCC)[Si](OC)(OC)OC,pan12
Triisopropylsilane,310,1,C(C)(C)[SiH](C(C)C)C(C)C,pan12
Tri-n-propylsilane,316,1,C(CC)[SiH](CCC)CCC,pan12
(Diisopropylamino)trimethylsilane,301,1,C(C)(C)N(C(C)C)[Si](C)(C)C,pan12
1-Chlorononamethyltetrasiloxane,347,1,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,pan12
Propyltris(dimethylsiloxy)silane,323,1,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,pan12
Benzyltrimethylsilane,335,1,C(C1=CC=CC=C1)[Si](C)(C)C,pan12
3-Methacryloxypropyltrimethoxysilane,365,1,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,pan12
n-Octyldimethylchlorosilane,370,1,C(CCCCCCC)[Si](Cl)(C)C,pan12
Bis(diethylamino)dimethylsilane,308,1,C(C)N(CC)[Si](C)(C)N(CC)CC,pan12
Decamethyltetrasiloxane,335,1,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,pan12
Decamethylcyclopentasiloxane,350,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,pan12
"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419,1,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,pan12
n-Decylmethyldichlorosilane,393,1,C(CCCCCCCCC)[Si](Cl)(Cl)C,pan12
Vinyltriethylsilane,318,1,C(=C)[Si](CC)(CC)CC,pan12
Phenyltriethoxysilane,393,1,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,pan12
Diphenylsilane,371,1,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,pan12
Tetramethyltetravinylcyclotetrasilane,385,1,C[Si]1([Si]([Si]([Si]1(C=C)C)(C=C)C)(C=C)C)C=C,pan12
n-Dodecyltrichlorosilane,435,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,pan12
Hexaethyldisiloxane,349,1,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,pan12
Dodecamethylpentasiloxane,352,1,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
Dodecamethylcyclohexasiloxane,366,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,pan12
Methyldiphenylchlorosilane,411,1,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,pan12
n-Dodecylmethyldichlorosilane,416,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,pan12
Diphenyldimethoxysilane,394,1,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,pan12
Octyltriethoxysilane,373,1,C(CCCCCCC)[Si](OCC)(OCC)OCC,pan12
Tetradecamethylhexasiloxane,375,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
n-Octadecyltrichlorosilane,466,1,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,pan12
Octadecamethyloctasiloxane,417,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
Vinyltrichlorosilane,294,1,C(=C)[Si](Cl)(Cl)Cl,pan12
Ethylsilane,213,1,C(C)[SiH3],pan12
n-Propyltrichlorosilane,310,1,C(CC)[Si](Cl)(Cl)Cl,pan12
Trimethylfluorosilane,238,1,C[Si](F)(C)C,pan12
Dimethylvinylchlorosilane,268,1,CC(=C[SiH2]Cl)C,pan12
Trimethylsilylisothiocyanate,308,1,C[Si](C)(C)N=C=S,pan12
Methoxytrimethylsilane,243,1,CO[Si](C)(C)C,pan12
Diethylsilane,253,1,C(C)[SiH2]CC,pan12
Tetraisocyanatosilane,323,1,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,pan12
sec-Amyltrichlorosilane,303,1,C(C)(CCC)[Si](Cl)(Cl)Cl,pan12
Vinyltrimethoxysilane,296,1,C(=C)[Si](OC)(OC)OC,pan12
Ethoxytrimethylsilane,246,1,C(C)O[Si](C)(C)C,pan12
Phenyltrichlorosilane,364,1,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,pan12
Cyclohexyltrichlorosilane,358,1,C1(CCCCC1)[Si](Cl)(Cl)Cl,pan12
1-Trimethylsilylpropyne,270,1,C[Si](C#CC)(C)C,pan12
Hexyldichlorosilane,337,1,C(CCCCC)[SiH](Cl)Cl,pan12
Allyltrimethoxysilane,319,1,C(C=C)[Si](OC)(OC)OC,pan12
3-Chloropropylmethyldimethoxysilane,318,1,ClCCC[Si](OC)(OC)C,pan12
n-Propyltrimethoxysilane,298,1,C(CC)[Si](OC)(OC)OC,pan12
Hexamethyldisiloxane,270,1,C[Si](O[Si](C)(C)C)(C)C,pan12
Hexamethyldisilazane,281,1,C[Si](N[Si](C)(C)C)(C)C,pan12
Methyltriacetoxysilane,358,1,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12
n-Heptyltrichlorosilane,337,1,C(CCCCCC)[Si](Cl)(Cl)Cl,pan12
(1-Methoxy-2-propoxy)trimethylsilane,293,1,COCC(C)O[Si](C)(C)C,pan12
Heptamethyldisilazane,300,1,C[Si](N([Si](C)(C)C)C)(C)C,pan12
Vinyltriacetoxysilane,361,1,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12
(Cyclopentenyloxy)trimethylsilane,311,1,C1(=CCCC1)O[Si](C)(C)C,pan12
Tetramethyldivinyldisiloxane,292,1,C[Si](O[Si](C=C)(C=C)C)(C)C,pan12
Diethyldiethoxysilane,316,1,C(C)[Si](OCC)(OCC)CC,pan12
Tetramethyldiethoxysiloxane,311,1,CC(C(O[Si]([O])OCC)(C)C)C,pan12
Tri-n-propylchlorosilane,349,1,C(CC)[Si](Cl)(CCC)CCC,pan12
Tris(trimethylsiloxy)boron,315,1,C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,pan12
1-Heptynyltrimethylsilane,315,1,C(#CCCCCC)[Si](C)(C)C,pan12
Tristrimethylsiloxymethylsilane,336,1,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,pan12
Diphenyldichlorosilane,415,1,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,pan12
Tetra-n-propoxysilane,368,1,C(CC)O[Si](OCCC)(OCCC)OCCC,pan12
Diphenylmethylsilane,393,1,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],pan12
Hexadecamethylheptasiloxane,406,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
ACETOXYETHYLDIMETHYLCHLOROSILANE,336.15,1,CC(=O)OCC[Si](C)(C)Cl,gelest_silanes
ACETOXYETHYLMETHYLDICHLOROSILANE,338.15,1,CC(=O)OCC[Si](C)(Cl)Cl,gelest_silanes
ACETOXYETHYLTRICHLOROSILANE,355.15,1,CC(=O)OCC[Si](Cl)(Cl)Cl,gelest_silanes
ACETOXYETHYLTRIETHOXYSILANE,372.15,1,CCO[Si](CCOC(C)=O)(OCC)OCC,gelest_silanes
ACETOXYMETHYLTRIMETHYLSILANE,293.15,1,CC(=O)OC[Si](C)(C)C,gelest_silanes
3-ACETOXYPROPYLMETHYLDICHLOROSILANE,358.15,1,CC(=O)OCCC[Si](C)(Cl)Cl,gelest_silanes
3-ACETOXYPROPYLTRIMETHOXYSILANE,366.15,1,CO[Si](CCCOC(C)=O)(OC)OC,gelest_silanes
ACETOXYTRIMETHYLSILANE,277.15,1,CC(=O)O[Si](C)(C)C,gelest_silanes
ACETYLTRIMETHYLSILANE,281.15,1,CC(=O)[Si](C)(C)C,gelest_silanes
ACRYLOXYMETHYLTRIMETHOXYSILANE,335.15,1,C=CC(=O)OC[Si](OC)(OC)OC,gelest_silanes
(3-ACRYLOXYPROPYL)DIMETHYLMETHOXYSILANE,358.15,1,C=CC(=O)OCCC[Si](C)(C)OC,gelest_silanes
(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,396.15,1,C=CC(=O)OCCC[Si](OC)(OC)OC,gelest_silanes
(3-ACRYLOXYPROPYL)TRIS(TRIMETHYLSILOXY)SILANE,366.15,1,C=CC(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,gelest_silanes
ACRYLOXYTRIMETHYLSILANE,299.15,1,C=CC(=O)O[Si](C)(C)C,gelest_silanes
3-(N-ALLYLAMINO)PROPYLTRIMETHOXYSILANE,361.15,1,C=CCNCCC[Si](OC)(OC)OC,gelest_silanes
ALLYLAMINOTRIMETHYLSILANE,283.15,1,C=CCN[Si](C)(C)C,gelest_silanes
ALLYL(CHLOROMETHYL)DIMETHYLSILANE,300.15,1,C=CC[Si](C)(C)CCl,gelest_silanes
ALLYL(3-CHLOROPROPYL)DICHLOROSILANE,349.15,1,C=CC[Si](Cl)(Cl)CCCCl,gelest_silanes
ALLYLDICHLOROSILANE,269.15,1,C=CC[SiH](Cl)Cl,gelest_silanes
ALLYLDIMETHYL(DIISOPROPYLAMINO)SILANE,335.15,1,C=CC[Si](C)(C)N(C(C)C)C(C)C,gelest_silanes
ALLYLDIMETHYLSILANE,253.15,1,C=CC[SiH](C)C,gelest_silanes
ALLYL(4-METHOXYPHENYL)DIMETHYLSILANE,375.15,1,C=CC[Si](C)(C)c1ccc(OC)cc1,gelest_silanes
ALLYLMETHYLDICHLOROSILANE,300.15,1,C=CCC[SiH](Cl)Cl,gelest_silanes
ALLYLOXY-t-BUTYLDIMETHYLSILANE,305.15,1,C=CCO[Si](C)(C)C(C)(C)C,gelest_silanes
ALLYLOXYTRIMETHYLSILANE,273.15,1,C=CCO[Si](C)(C)C,gelest_silanes
ALLYLPHENYLDICHLOROSILANE,349.15,1,C=CC[Si](Cl)(Cl)c1ccccc1,gelest_silanes
ALLYLTRICHLOROSILANE,304.15,1,C=CC[Si](Cl)(Cl)Cl,gelest_silanes
ALLYLTRIETHOXYSILANE,320.15,1,C=CC[Si](OCC)(OCC)OCC,gelest_silanes
ALLYLTRIISOPROPYLSILANE,349.15,1,C=CC[Si](C(C)C)(C(C)C)C(C)C,gelest_silanes
ALLYLTRIMETHOXYSILANE,319.15,1,C=CC[Si](OC)(OC)OC,gelest_silanes
ALLYLTRIMETHYLSILANE,280.15,1,C=CC[Si](C)(C)C,gelest_silanes
ALLYLTRIS(TRIMETHYLSILOXY)SILANE,340.15,1,C=CC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,gelest_silanes
4-AMINOBUTYLTRIETHOXYSILANE,382.15,1,CCO[Si](CCCCN)(OCC)OCC,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,363.15,1,CO[Si](C)(CCCNCCN)OC,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIETHOXYSILANE,421.15,1,CCO[Si](CCCNCCN)(OCC)OCC,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,423.15,1,CO[Si](CCCNCCN)(OC)OC,gelest_silanes
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,423.15,1,CO[Si](CCCNCCN)(OC)OC,gelest_silanes
AMINOMETHYLTRIMETHYLSILANE,282.15,1,C[Si](C)(C)CN,gelest_silanes
m-AMINOPHENYLTRIMETHOXYSILANE,453.15,1,CO[Si](OC)(OC)c1cccc(N)c1,gelest_silanes
p-AMINOPHENYLTRIMETHOXYSILANE,453.15,1,CO[Si](OC)(OC)c1ccc(N)cc1,gelest_silanes
AMINOPHENYLTRIMETHOXYSILANE,453.15,1,CO[Si](OC)(OCN)c1ccccc1,gelest_silanes
3-AMINOPROPYLDIMETHYLETHOXYSILANE,346.15,1,CCO[Si](C)(C)CCCN,gelest_silanes
3-AMINOPROPYLTRIETHOXYSILANE,377.15,1,CCO[Si](CCCN)(OCC)OCC,gelest_silanes
3-AMINOPROPYLTRIMETHOXYSILANE,356.15,1,CO[Si](CCCN)(OC)OC,gelest_silanes
3-AMINOPROPYLTRIMETHOXYSILANE,356.15,1,CO[Si](CCCN)(OC)OC,gelest_silanes
3-AMINOPROPYLTRIMETHYLSILANE,332.15,1,C[Si](C)(C)CCCN,gelest_silanes
3-AMINOPROPYLTRIS(METHOXYETHOXYETHOXY)SILANE,341.15,1,COCCOCCO[Si](CCCN)(OCCOCCOC)OCCOCCOC,gelest_silanes
(AZIDOMETHYL)TRIMETHYLSILANE,279.15,1,C[Si](C)(C)CN=[N+]=[N-],gelest_silanes
6-AZIDOSULFONYLHEXYLTRIETHOXYSILANE,387.15,1,CCO[Si](CCCCCCS(=O)(=O)N=[N+]=[N-])(OCC)OCC,gelest_silanes
N-BENZYLAMINOMETHYLTRIMETHYLSILANE,389.15,1,C[Si](C)(C)CNCc1ccccc1,gelest_silanes
BENZYLDIMETHYLCHLOROSILANE,346.15,1,C[Si](C)(Cl)Cc1ccccc1,gelest_silanes
BENZYLDIMETHYLSILANE,338.15,1,C[SiH](C)Cc1ccccc1,gelest_silanes
N-BENZYL-N-METHOXYMETHYL-N-(TRIMETHYLSILYLMETHYL)AMINE,339.15,1,COCN(Cc1ccccc1)C[Si](C)(C)C,gelest_silanes
BIS[BIS(TRIMETHYLSILYL)AMINO]TIN(II),329.15,1,C[Si](C)(C)N([Sn]N([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,gelest_tin
Ethyl silicate,325.15,1,CCO[Si]([O-])([O-])[O-],hazardous materials
diethylsilicon,244.25,1,CC[Si]CC,le15
chloro(dimethyl)silicon,245.15,1,C[Si](C)Cl,le15
trimethyl(prop-2-enyl)silane,280.35,1,C=CC[Si](C)(C)C,le15
"Silane, dichloromethyl-",240.95,1,[SiH3]C(Cl)Cl,le15
"Silane, azidotrimethyl-",279.15,1,C[Si](C)(C)N=[N+]=[N-],le15
N-methyl-N-trimethylsilylmethanamine,254.15,1,CN(C)[Si](C)(C)C,le15
ethoxy(trimethyl)silane,255.15,1,CCO[Si](C)(C)C,le15
[(E)-2-chloroethenyl]-dimethylsilicon,269.15,1,C[Si](C)/C=C/Cl,le15
"Silane, trimethoxy-",268.75,1,CO[SiH](OC)OC,le15
methyl(phenyl)silicon,311.65,1,C[Si]c1ccccc1,le15
Butyltrimethylsilane,281.65,1,CCCC[Si](C)(C)C,le15
"Acetic acid, (trimethylsilyl)-",334.65,1,C[Si](C)(C)CC(=O)O,le15
triethyl(hydroxy)silane,330.372,1,CC[Si](O)(CC)CC,le15
3-trimethylsilylpropan-1-ol,325.95,1,C[Si](C)(C)CCCO,le15
triethyl(fluoro)silane,292.15,1,CC[Si](F)(CC)CC,le15
chloro-dimethyl-prop-2-enylsilane,278.75,1,C=CC[Si](C)(C)Cl,le15
"Silane, methyltrimethoxy-",284.25,1,CO[Si](C)(OC)OC,le15
dimethyl(phenyl)silicon,308.15,1,C[Si](C)c1ccccc1,le15
tetrakis(ethenyl)silane,279.25,1,C=C[Si](C=C)(C=C)C=C,le15
"Silane, dichloroethenylmethyl-",277.55,1,C[SiH2]C=C(Cl)Cl,le15
chloro(phenyl)silicon,327.05,1,Cl[Si]c1ccccc1,le15
chloro-(chloromethyl)-dimethylsilane,295.15,1,C[Si](C)(Cl)CCl,le15
tetraethylsilane,299.25,1,CC[Si](CC)(CC)CC,le15
"Propionic acid, 3-(trimethylsilyl)- (8CI)",362.15,1,C[Si](C)(C)CCC(=O)O,le15
ethyl(trimethoxy)silane,297.35,1,CC[Si](OC)(OC)OC,le15
trimethyl(phenyl)silane,317.15,1,C[Si](C)(C)c1ccccc1,le15
butyl-chloro-dimethylsilane,303.25,1,CCCC[Si](C)(C)Cl,le15
3-chloropropyl(trimethyl)silane,303.65,1,C[Si](C)(C)CCCCl,le15
tetramethyl silicate,302.05,1,CO[Si](OC)(OC)OC,le15
ethenyl-diethoxy-methylsilane,290.95,1,C=C[Si](C)(OCC)OCC,le15
"Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-",303.15,1,C[Si](C)(C)N[Si](C)(C)C,le15
"Silane, trichlorovinyl- (8CI)",283.75,1,[SiH3]C(Cl)=C(Cl)Cl,le15
"Silane, phenyltrifluoro-",288.35,1,F[Si](F)(F)c1ccccc1,le15
"Disiloxane, 1,1,1,3,3,3-hexamethyl-",280.85,1,C[Si](C)(C)O[Si](C)(C)C,le15
dichloro-(chloromethyl)-methylsilane,308.15,1,C[Si](Cl)(Cl)CCl,le15
trimethyl(phenoxy)silane,315.906,1,C[Si](C)(C)Oc1ccccc1,le15
trimethyl(2-trimethylsilylethynyl)silane,290.25,1,C[Si](C)(C)C#C[Si](C)(C)C,le15
diethoxy-methyl-prop-2-enylsilane,315.65,1,C=CC[Si](C)(OCC)OCC,le15
[acetyloxy(dimethyl)silyl] acetate,317.85,1,CC(=O)O[Si](C)(C)OC(C)=O,le15
"Silane, dimethylethoxyphenyl-",346.25,1,CCO[Si](C)(C)c1ccccc1,le15
"Butanenitrile, 4-(dichloromethylsilyl)-",365.15,1,N#CCCC[SiH2]C(Cl)Cl,le15
"Silane, dimethoxymethylphenyl-",353.15,1,COC(OC)[SiH2]c1ccccc1,le15
"Ethanethiol, 2-(trimethoxysilyl)-",344.95,1,CO[Si](CCS)(OC)OC,le15
trichloro(chloromethyl)silane,342.55,1,ClC[Si](Cl)(Cl)Cl,le15
chloromethyl-dimethyl-phenylsilane,364.25,1,C[Si](C)(CCl)c1ccccc1,le15
"Silanamine, 1-ethenyl-N-(ethenyldimethylsilyl)-1,1-dimethyl-",325.25,1,C=C[Si](C)(C)N[Si](C)(C)C=C,le15
"Disiloxane, 1,3-diethenyl-1,1,3,3-tetramethyl-",297.15,1,C=C[Si](C)(C)O[Si](C)(C)C=C,le15
bromomethyl-chloro-dimethylsilane,314.25,1,C[Si](C)(Cl)CBr,le15
"Propanenitrile, 3-(trichlorosilyl)-",358.35,1,N#CCC[Si](Cl)(Cl)Cl,le15
