Compound,TFP (K)
2-pentyne,243
4-methyl-1-pentyne,249
1-hexyne,253
3-hexyne,259
"4,4-dimethyl-2-pentyne",263
2-hexyne,262
5-methyl-1-hexyne,269
1-heptyne,271
2-heptyne,275
1-octyne,289
4-octyne,291
2-octyne,291
1-nonyne,306
1-decyne,323
1-undecyne,338
1-dodecyne,352
"1,6-heptadiyne",282
"1,7-octadiyne",296
"1,8-nonadiyne",314
benzene,262
toluene,277
ethylbenzene,291
p-xylene,298
m-xylene,298
o-xylene,303
cumene,304
n-propylbenzene,303
p-ethyltoluene,309
m-ethyltoluene,311
"1,3,5-trimethylbenzene",317
o-ethyltoluene,312
"1,2,4-trimethylbenzene",317
tert-butylbenzene,317
isobutylbenzene,323
sec-butylbenzene,318
m-isopropyltoluene,323
"1,2,3-trimethylbenzene",317
p-isopropyltoluene,320
o-isopropyltoluene,323
m-diethylbenzene,324
m-propyltoluene,325
n-butylbenzene,323
p-diethylbenzene,328
o-diethylbenzene,328
neopentylbenzene,323
"2-ethyl-1,4-dimethylbenzene",329
"1-ethyl-2,4-dimethylbenzene",330
"4-ethyl-1,2-dimethylbenzene",331
1-ethyl-2-isopropylbenzene,331
"1-ethyl-2,3-dimethylbenzene",338
(2-methylbutyl)benzene,337
isopentylbenzene,335
"1,2,3,5-tetramethylbenzene",336
"1,3-diisopropylbenzene",349
"1,2,3,4-tetramethylbenzene",341
2-phenyl-2-methylbutane,338
n-pentylbenzene,339
"1,4-diisopropylbenzene",349
"1,2-dimethyl-3-propylbenzene",345
"1,2,3,4-tetrahydronaphthalene",350
n-hexylbenzene,356
cyclohexylbenzene,372
n-heptylbenzene,368
(1-methylheptyl)benzene,373
n-octylbenzene,380
diphenylmethane,400
n-nonylbenzene,390
n-undecylbenzene,417
styrene,304
α-methylstyrene,318
3-methylstyrene,324
4-methylstyrene,318
