,compound,flashpoint,pure substance,smiles,source
61,3-Chloropropylmethyldimethoxysilane,318.15,1,CO[Si](C)(CCCCl)OC,wang11
62,Trimethyl-n-propoxysilane,283.15,1,CCCO[Si](C)(C)C,wang11
63,t-Butyldimethylsilanol,318.15,1,CC(C)(C)[Si](C)(C)O,wang11
64,Dimethyldiethoxysilane,284.15,1,CCO[Si](C)(C)OCC,wang11
65,Triethylsilane,270.15,1,CC[SiH](CC)CC,wang11
66,Hexylsilane,285.15,1,CCCCCC[SiH3],wang11
67,t-Butyldimethylsilane,251.15,1,C[SiH](C)C(C)(C)C,wang11
68,Bis(dimethylamino)dimethylsilane,266.15,1,CN(C)[Si](C)(C)N(C)C,wang11
69,Hexamethylcyclotrisiloxane,305.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,wang11
70,Hexamethyldisilthiane,299.15,1,C[Si](C)(C)S[Si](C)(C)C,wang11
71,Hexamethyldisilazane,281.15,1,C[Si](C)(C)N[Si](C)(C)C,wang11
72,Tris(dimethylamino)silane,298.15,1,CN(C)[SiH](N(C)C)N(C)C,wang11
73,Hexamethyltrisiloxane,293.15,1,C[Si](C)(C)O[SiH2]O[Si](C)(C)C,wang11
74,Phenylmethyldichlorosilane,340.15,1,Cl[SiH](Cl)Cc1ccccc1,wang11
75,Phenylmethylchlorosilane,355.15,1,Cl[SiH2]Cc1ccccc1,wang11
76,Methyltriacetoxysilane,358.15,1,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,wang11
77,Trivinylmethylsilane,288.15,1,C=CC([SiH3])(C=C)C=C,wang11
78,Cyclohexylmethyldichlorosilane,355.15,1,Cl[SiH](Cl)CC1CCCCC1,wang11
79,"1-(Trimethylsiloxy)-1,3-butadiene",298.15,1,C=CC=CO[Si](C)(C)C,wang11
80,2-Chloromethyl-3-trimethylsilyl-1-propene,316.15,1,C=C(CCl)C[Si](C)(C)C,wang11
81,n-Heptyltrichlorosilane,337.15,1,CCCCCCC[Si](Cl)(Cl)Cl,wang11
82,n-Hexylmethyldichlorosilane,358.15,1,CCCCCC[Si](C)(Cl)Cl,wang11
83,Vinylmethyldiethoxysilane,289.15,1,C=CC[SiH](OCC)OCC,wang11
84,N-(Trimethylsilyl)morpholine,300.15,1,C[Si](C)(C)N1CCOCC1,wang11
85,t-Butoxytrimethylsilane,287.15,1,CC(C)(C)O[Si](C)(C)C,wang11
86,Vinylpentamethyldisiloxane,285.15,1,C=C[Si](C)(C)O[Si](C)(C)C,wang11
87,(1-Methoxy-2-propoxy)trimethylsilane,293.15,1,COCC(C)O[Si](C)(C)C,wang11
88,Methyltriethoxysilane,297.15,1,CCO[Si](C)(OCC)OCC,wang11
89,(Diethylamino)trimethylsilane,283.15,1,CCN(CC)[Si](C)(C)C,wang11
90,Bis(trimethylsilyl)methane,285.15,1,C[Si](C)(C)C[Si](C)(C)C,wang11
91,Heptamethyldisilazane,300.15,1,CN([Si](C)(C)C)[Si](C)(C)C,wang11
92,Phenylethyldichlorosilane,365.15,1,Cl[SiH](Cl)CCc1ccccc1,wang11
93,Tetravinylsilane,291.15,1,C=C[Si](C=C)(C=C)C=C,wang11
94,Phenyldimethylsilane,311.15,1,C[SiH](C)c1ccccc1,wang11
95,Cyclopentadienyltrimethylsilane,302.15,1,C[Si](C)(C)C1C=CC=C1,wang11
96,(Cyclopentenyloxy)trimethylsilane,311.15,1,C[Si](C)(C)OC1=CCCC1,wang11
97,"(2,4-Pentadienyl)trimethylsilane",291.15,1,C=CC=CC[Si](C)(C)C,wang11
98,n-Octyltrichlorosilane,369.15,1,CCCCCCCC[Si](Cl)(Cl)Cl,wang11
99,n-Heptylmethyldichlorosilane,339.15,1,CCCCCCC[Si](C)(Cl)Cl,wang11
100,Tetramethyldivinyldisiloxane,292.15,1,C=C[Si](C)(C=C)O[Si](C)(C)C,wang11
101,Triethylacetoxysilane,314.15,1,CCC(CC)(CC)C(=O)O[SiH3],wang11
102,Vinyltriethoxysilane,307.15,1,C=C[Si](OCC)(OCC)OCC,wang11
103,"1,3-Divinyltetramethyldisilazane",307.15,1,C=C[Si](C)(C)N[Si](C)(C)C=C,wang11
104,Diethyldiethoxysilane,316.15,1,CCO[Si](CC)(CC)OCC,wang11
105,Tetraethoxysilane,323.15,1,CCO[Si](OCC)(OCC)OCC,wang11
106,Tetraethylsilane,305.15,1,CC[Si](CC)(CC)CC,wang11
107,Aminoethylaminopropyltrimethoxysilane,369.15,1,CO[Si](CCCNCCN)(OC)OC,wang11
108,Tetramethyldiethoxysiloxane,311.15,1,CCO[Si]([O])OC(C)(C)C(C)C,wang11
109,Octamethyltrisiloxane,303.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,wang11
110,Octamethylcyclotetrasiloxane,330.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,wang11
111,Octamethylcyclotetrasilazane,339.15,1,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N[Si](C)(C)N1,wang11
112,Tetrakisdimethylsiloxysilane,340.15,1,C[SiH](C)O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,wang11
113,p-Chlorophenyltrimethylsilane,322.15,1,C[Si](C)(C)c1ccc(Cl)cc1,wang11
114,Phenyltrimethoxysilane,358.15,1,CO[Si](OC)(OC)c1ccccc1,wang11
115,Trimethylphenylsilane,313.15,1,C[Si](C)(C)c1ccccc1,wang11
116,Cyclohexylmethyldimethoxysilane,343.15,1,CO[SiH](CC1CCCCC1)OC,wang11
117, Hexyltrimethoxysilane,335.15,1,CCCCCC[Si](OC)(OC)OC,wang11
118,Triisopropylsilane,310.15,1,CC(C)[SiH](C(C)C)C(C)C,wang11
119,Tri-n-propylsilane,316.15,1,CCC[SiH](CCC)CCC,wang11
120, Propyltris(dimethylsiloxy)silane,323.15,1,CCC[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,wang11
121, Benzyltrimethylsilane,335.15,1,C[Si](C)(C)Cc1ccccc1,wang11
122,3-Methacryloxypropyltrimethoxysilane,365.15,1,C=C(C)C(=O)OCCC[Si](OC)(OC)OC,wang11
123,1-Heptynyltrimethylsilane,315.15,1,CCCCCC#C[Si](C)(C)C,wang11
124, n-Octyldimethylchlorosilane,370.15,1,CCCCCCCC[Si](C)(C)Cl,wang11
125, Bis(diethylamino)dimethylsilane,308.15,1,CCN(CC)[Si](C)(C)N(CC)CC,wang11
126, Decamethyltetrasiloxane,335.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,wang11
127, Decamethylcyclopentasiloxane,350.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,wang11
128,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.15,1,CO[Si](CCC1CCC2OC2C1)(OC)OC,wang11
129, n-Decylmethyldichlorosilane,393.15,1,CCCCCCCCCC[Si](C)(Cl)Cl,wang11
130, Vinyltriethylsilane,318.15,1,C=C[Si](CC)(CC)CC,wang11
131, Diphenyldichlorosilane,415.15,1,Cl[Si](Cl)(c1ccccc1)c1ccccc1,wang11
132, Phenyltriethoxysilane,393.15,1,CCO[Si](OCC)(OCC)c1ccccc1,wang11
133, Diphenylsilane,371.15,1,c1ccc([SiH2]c2ccccc2)cc1,wang11
134, Tetramethyltetravinylcyclotetrasilane,385.15,1,C=C[Si]1(C)[Si](C)(C=C)[Si](C)(C=C)[Si]1(C)C=C,wang11
135, n-Dodecyltrichlorosilane,435.15,1,CCCCCCCCCCCC[Si](Cl)(Cl)Cl,wang11
136, Tetra-n-propoxysilane,368.15,1,CCCO[Si](OCCC)(OCCC)OCCC,wang11
137, Hexaethyldisiloxane,349.15,1,CC[Si](CC)(CC)O[Si](CC)(CC)CC,wang11
138, Dodecamethylpentasiloxane,352.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,wang11
139, Dodecamethylcyclohexasiloxane,366.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,wang11
140,Methyldiphenylchlorosilane,411.15,1,C[Si](Cl)(c1ccccc1)c1ccccc1,wang11
141,n-Dodecylmethyldichlorosilane,416.15,1,CCCCCCCCCCCC[Si](C)(Cl)Cl,wang11
142,Diphenyldimethoxysilane,394.15,1,CO[Si](OC)(c1ccccc1)c1ccccc1,wang11
143,Octyltriethoxysilane,373.15,1,CCCCCCCC[Si](OCC)(OCC)OCC,wang11
144,Tetradecamethylhexasiloxane,375.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,wang11
145,Hexadecamethylheptasiloxane,406.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,wang11
146,Octadecamethyloctasiloxane,417.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,wang11
147,Vinyltris(methoxyethoxy)silane,353.15,1,C=C[Si](OCCOC)(OCCOC)OCCOC,wang11
148,Trimethyl(vinyloxy)silane,263.15,1,C=CO[Si](C)(C)C,wang11
149,Trichloro(3-cyanopropyl) Silane,365.15,1,N#CCCC[Si](Cl)(Cl)Cl,wang11
150,Trichloro(2-phenylethyl)silane,364.15,1,Cl[Si](Cl)(Cl)CCc1ccccc1,wang11
151,"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1,C[Si](C)(Cl)CCC(F)(F)F,wang11
152,Vinylmethylbis (trimethylsiloxy) silane,324.15,1,C=CC[SiH](O[Si](C)(C)C)O[Si](C)(C)C,wang11
153,Trichloro(Chloromethyl) silane,342.15,1,ClC[Si](Cl)(Cl)Cl,wang11
154,Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C)c1c(F)c(F)c(F)c(F)c1F,wang11
155,Trichloro(p-chlorophenyl)silane,397.05,1,Clc1ccc([Si](Cl)(Cl)Cl)cc1,wang11
156,Trisilane,273.15,1,[SiH3][SiH2][SiH3],wang11
157,Trichlorononylsilane,387.15,1,[SiH3]CCCCCCCCC(Cl)(Cl)Cl,wang11
158,Dichloroethylsilane,263.75,1,[SiH3]CC(Cl)Cl,wang11
159,Trichloro(dichlorophenyl)silane,419.15,1,Clc1cccc([Si](Cl)(Cl)Cl)c1Cl,wang11
160,Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,wang11
161,Tris(trimethylsiloxy)silane,323.15,1,C[Si](C)(C)O[SiH](O[Si](C)(C)C)O[Si](C)(C)C,wang11
162,Hexadecyltrichlorosilane,427.15,1,CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,wang11
163,Dichlorosilane,236.15,1,Cl[SiH2]Cl,wang11
164,Methyldichlorosilane,241.15,1,C[SiH](Cl)Cl,wang11
165,Iodotrimethylsilane,288.15,1,C[Si](C)(C)I,wang11
166,Dimethyldichlorosilane,257.15,1,C[Si](C)(Cl)Cl,wang11
167,Bromomethyldimethylchlorosilane,314.15,1,C[Si](C)(Cl)CBr,wang11
168,Trimethylsilane,204.15,1,C[SiH](C)C,wang11
169, Dimethylvinylchlorosilane,268.15,1,CC(C)=C[SiH2]Cl,wang11
170,"1,3-Dichlorotetramethyldisiloxane",288.15,1,C[Si](C)(Cl)O[Si](C)(C)Cl,wang11
171,"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](C)O[SiH](C)C,wang11
172, Tetramethyldisilazane,284.15,1,CN([SiH3])[Si](C)(C)C,wang11
173, Allyldimethylchlorosilane,278.15,1,C=CC[Si](C)(C)Cl,wang11
174, sec-Amyltrichlorosilane,303.15,1,CCCC(C)[Si](Cl)(Cl)Cl,wang11
175, n-Butylmethyldichlorosilane,303.15,1,CCCC[Si](C)(Cl)Cl,wang11
176, Bis(dimethylamino)methylsilane,270.15,1,CN(C)C([SiH3])N(C)C,wang11
177, Phenyltrichlorosilane,364.15,1,Cl[Si](Cl)(Cl)c1ccccc1,wang11
178,Dimethyldiacetoxysilane,310.15,1,CC(=O)O[Si](C)(C)OC(C)=O,wang11
179,1-Trimethylsilylpropyne,270.15,1,CC#C[Si](C)(C)C,wang11
180,Vinyldimethylethoxysilane,277.15,1,C=C[Si](C)(C)OCC,wang11
181,Allyloxytrimethylsilane,273.15,1,C=CCO[Si](C)(C)C,wang11
182,Allyltrimethoxysilane,319.15,1,C=CC[Si](OC)(OC)OC,wang11
183,3-Chloropropyltrimethoxysilane,348.15,1,CO[Si](CCCCl)(OC)OC,wang11
184,n-Propyltrimethoxysilane,298.15,1,CCC[Si](OC)(OC)OC,wang11
185,Hexamethyldisiloxane,270.15,1,C[Si](C)(C)O[Si](C)(C)C,wang11
