,compound,flashpoint,pure substance,smiles,source
71,Hexamethyldisilazane,281.15,1,C[Si](C)(C)N[Si](C)(C)C,didier12
72,Tris(dimethylamino)silane,298.15,1,CN(C)[SiH](N(C)C)N(C)C,didier12
73,Hexamethyltrisiloxane,293.15,1,C[Si](C)(C)O[SiH2]O[Si](C)(C)C,didier12
74,Phenylmethyldichlorosilane,340.15,1,Cl[SiH](Cl)Cc1ccccc1,didier12
75,Phenylmethylchlorosilane,355.15,1,Cl[SiH2]Cc1ccccc1,didier12
76,Methyltriacetoxysilane,358.15,1,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,didier12
77,Trivinylmethylsilane,288.15,1,C=CC([SiH3])(C=C)C=C,didier12
78,Cyclohexylmethyldichlorosilane,355.15,1,Cl[SiH](Cl)CC1CCCCC1,didier12
79,"1-(Trimethylsiloxy)-1,3-butadiene",298.15,1,C=CC=CO[Si](C)(C)C,didier12
80,2-Chloromethyl-3-trimethylsilyl-1-propene,316.15,1,C=C(CCl)C[Si](C)(C)C,didier12
81,n-Heptyltrichlorosilane,337.15,1,CCCCCCC[Si](Cl)(Cl)Cl,didier12
82,n-Hexylmethyldichlorosilane,358.15,1,CCCCCC[Si](C)(Cl)Cl,didier12
83,Vinylmethyldiethoxysilane,289.15,1,C=CC[SiH](OCC)OCC,didier12
84,N-(Trimethylsilyl)morpholine,300.15,1,C[Si](C)(C)N1CCOCC1,didier12
85,t-Butoxytrimethylsilane,287.15,1,CC(C)(C)O[Si](C)(C)C,didier12
86,Vinylpentamethyldisiloxane,285.15,1,C=C[Si](C)(C)O[Si](C)(C)C,didier12
87,(1-Methoxy-2-propoxy)trimethylsilane,293.15,1,COCC(C)O[Si](C)(C)C,didier12
88,Methyltriethoxysilane,297.15,1,CCO[Si](C)(OCC)OCC,didier12
89,(Diethylamino)trimethylsilane,283.15,1,CCN(CC)[Si](C)(C)C,didier12
90,Bis(trimethylsilyl)methane,285.15,1,C[Si](C)(C)C[Si](C)(C)C,didier12
91,Heptamethyldisilazane,300.15,1,CN([Si](C)(C)C)[Si](C)(C)C,didier12
92,Phenylethyldichlorosilane,365.15,1,Cl[SiH](Cl)CCc1ccccc1,didier12
93,Tetravinylsilane,291.15,1,C=C[Si](C=C)(C=C)C=C,didier12
94,Phenyldimethylsilane,311.15,1,C[SiH](C)c1ccccc1,didier12
95,Cyclopentadienyltrimethylsilane,302.15,1,C[Si](C)(C)C1C=CC=C1,didier12
96,(Cyclopentenyloxy)trimethylsilane,311.15,1,C[Si](C)(C)OC1=CCCC1,didier12
97,"(2,4-Pentadienyl)trimethylsilane",291.15,1,C=CC=CC[Si](C)(C)C,didier12
98,n-Octyltrichlorosilane,369.15,1,CCCCCCCC[Si](Cl)(Cl)Cl,didier12
99,n-Heptylmethyldichlorosilane,339.15,1,CCCCCCC[Si](C)(Cl)Cl,didier12
100,Tetramethyldivinyldisiloxane,292.15,1,C=C[Si](C)(C=C)O[Si](C)(C)C,didier12
101,Triethylacetoxysilane,314.15,1,CCC(CC)(CC)C(=O)O[SiH3],didier12
102,Vinyltriethoxysilane,307.15,1,C=C[Si](OCC)(OCC)OCC,didier12
103,"1,3-Divinyltetramethyldisilazane",307.15,1,C=C[Si](C)(C)N[Si](C)(C)C=C,didier12
104,Diethyldiethoxysilane,316.15,1,CCO[Si](CC)(CC)OCC,didier12
105,Tetraethoxysilane,323.15,1,CCO[Si](OCC)(OCC)OCC,didier12
106,Tetraethylsilane,305.15,1,CC[Si](CC)(CC)CC,didier12
107,Aminoethylaminopropyltrimethoxysilane,369.15,1,CO[Si](CCCNCCN)(OC)OC,didier12
108,Tetramethyldiethoxysiloxane,311.15,1,CCO[Si]([O])OC(C)(C)C(C)C,didier12
109,Octamethyltrisiloxane,303.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,didier12
110,Octamethylcyclotetrasiloxane,330.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,didier12
111,Octamethylcyclotetrasilazane,339.15,1,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N[Si](C)(C)N1,didier12
112,Tetrakisdimethylsiloxysilane,340.15,1,C[SiH](C)O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,didier12
113,p-Chlorophenyltrimethylsilane,322.15,1,C[Si](C)(C)c1ccc(Cl)cc1,didier12
114,Phenyltrimethoxysilane,358.15,1,CO[Si](OC)(OC)c1ccccc1,didier12
115,Trimethylphenylsilane,313.15,1,C[Si](C)(C)c1ccccc1,didier12
116,Cyclohexylmethyldimethoxysilane,343.15,1,CO[SiH](CC1CCCCC1)OC,didier12
117,Hexyltrimethoxysilane,335.15,1,CCCCCC[Si](OC)(OC)OC,didier12
118,Triisopropylsilane,310.15,1,CC(C)[SiH](C(C)C)C(C)C,didier12
119,Tri-n-propylsilane,316.15,1,CCC[SiH](CCC)CCC,didier12
120,Propyltris(dimethylsiloxy)silane,323.15,1,CCC[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,didier12
121,Benzyltrimethylsilane,335.15,1,C[Si](C)(C)Cc1ccccc1,didier12
122,3-Methacryloxypropyltrimethoxysilane,365.15,1,C=C(C)C(=O)OCCC[Si](OC)(OC)OC,didier12
123,1-Heptynyltrimethylsilane,315.15,1,CCCCCC#C[Si](C)(C)C,didier12
124,n-Octyldimethylchlorosilane,370.15,1,CCCCCCCC[Si](C)(C)Cl,didier12
125,Bis(diethylamino)dimethylsilane,308.15,1,CCN(CC)[Si](C)(C)N(CC)CC,didier12
126,Decamethyltetrasiloxane,335.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,didier12
127,Decamethylcyclopentasiloxane,350.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,didier12
128,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.15,1,CO[Si](CCC1CCC2OC2C1)(OC)OC,didier12
129,n-Decylmethyldichlorosilane,393.15,1,CCCCCCCCCC[Si](C)(Cl)Cl,didier12
130,Vinyltriethylsilane,318.15,1,C=C[Si](CC)(CC)CC,didier12
131,Diphenyldichlorosilane,415.15,1,Cl[Si](Cl)(c1ccccc1)c1ccccc1,didier12
132,Phenyltriethoxysilane,393.15,1,CCO[Si](OCC)(OCC)c1ccccc1,didier12
133,Diphenylsilane,371.15,1,c1ccc([SiH2]c2ccccc2)cc1,didier12
134,Tetramethyltetravinylcyclotetrasilane,385.15,1,C=C[Si]1(C)[Si](C)(C=C)[Si](C)(C=C)[Si]1(C)C=C,didier12
135,n-Dodecyltrichlorosilane,435.15,1,CCCCCCCCCCCC[Si](Cl)(Cl)Cl,didier12
136,Tetra-n-propoxysilane,368.15,1,CCCO[Si](OCCC)(OCCC)OCCC,didier12
137,Hexaethyldisiloxane,349.15,1,CC[Si](CC)(CC)O[Si](CC)(CC)CC,didier12
138,Dodecamethylpentasiloxane,352.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,didier12
139,Dodecamethylcyclohexasiloxane,366.15,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,didier12
140,Methyldiphenylchlorosilane,411.15,1,C[Si](Cl)(c1ccccc1)c1ccccc1,didier12
141,n-Dodecylmethyldichlorosilane,416.15,1,CCCCCCCCCCCC[Si](C)(Cl)Cl,didier12
142,Diphenyldimethoxysilane,394.15,1,CO[Si](OC)(c1ccccc1)c1ccccc1,didier12
143,Octyltriethoxysilane,373.15,1,CCCCCCCC[Si](OCC)(OCC)OCC,didier12
144,Tetradecamethylhexasiloxane,375.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,didier12
145,Hexadecamethylheptasiloxane,406.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,didier12
