compound,smiles,flashpoint,pure substance,source
3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCN)(OC)OC,356.15,1,gelest_silanes
3-AMINOPROPYLTRIMETHOXYSILANE,CO[Si](CCCN)(OC)OC,356.15,1,gelest_silanes
3-AMINOPROPYLTRIMETHYLSILANE,C[Si](C)(C)CCCN,332.15,1,gelest_silanes
3-AMINOPROPYLTRIS(METHOXYETHOXYETHOXY)SILANE,COCCOCCO[Si](CCCN)(OCCOCCOC)OCCOCCOC,341.15,1,gelest_silanes
(AZIDOMETHYL)TRIMETHYLSILANE,C[Si](C)(C)CN=[N+]=[N-],279.15,1,gelest_silanes
6-AZIDOSULFONYLHEXYLTRIETHOXYSILANE,CCO[Si](CCCCCCS(=O)(=O)N=[N+]=[N-])(OCC)OCC,387.15,1,gelest_silanes
4-(AZIDOSULFONYL)PHENETHYLTRIMETHOXYSILANE,CO[Si](CCc1ccc(S(=O)(=O)N=[N+]=[N-])cc1)(OC)OC,302.15,0,gelest_silanes
N-BENZYLAMINOMETHYLTRIMETHYLSILANE,C[Si](C)(C)CNCc1ccccc1,389.15,1,gelest_silanes
BENZYLDIMETHYLCHLOROSILANE,C[Si](C)(Cl)Cc1ccccc1,346.15,1,gelest_silanes
BENZYLDIMETHYLSILANE,C[SiH](C)Cc1ccccc1,338.15,1,gelest_silanes
N-BENZYL-N-METHOXYMETHYL-N-(TRIMETHYLSILYLMETHYL)AMINE,COCN(Cc1ccccc1)C[Si](C)(C)C,339.15,1,gelest_silanes
